Week	Date	Opponent	Result	Attendance
1	September 21, 1975	at Minnesota Vikings	L 27-17	46,479
2	September 28, 1975	Los Angeles Rams	L 23-14	55,072
3	October 5, 1975	at Kansas City Chiefs	W 20-3	54,490
4	October 12, 1975	Atlanta Falcons	L 17-3	44,043
5	October 19, 1975	New Orleans Saints	W 35-21	39,990
6	October 26, 1975	at New England Patriots	L 24-16	60,358
7	November 2, 1975	Detroit Lions	L 28-17	43,209
8	November 9, 1975	at Los Angeles Rams	W 24-23	74,064
9	November 16, 1975	Chicago Bears	W 31-3	41,726
10	November 23, 1975	at New Orleans Saints	W 16-6	40,328
11	November 30, 1975	at Philadelphia Eagles	L 27-17	56,694
12	December 7, 1975	Houston Oilers	L 27-13	44,015
13	December 14, 1975	at Atlanta Falcons	L 31-9	38,501
14	December 21, 1975	New York Giants	L 26-23	34,354
