Conference	# of Bids	Record	Win %	Round of 32	Sweet Sixteen	Elite Eight	Final Four	Championship Game
Southeastern	6	9–6	.600	6	3	2	1	–
Atlantic Coast	5	4–5	.444	4	2	1	–	–
Big Ten	4	8–4	.667	4	2	2	2	1
Pacific-10	4	4–4	.500	4	2	–	–	–
Big Eight	4	3–4	.429	2	1	1	–	–
Big East	3	3–3	.500	2	1	–	–	–
Southwest	2	5–1	.833	2	1	1	1	1
Sun Belt	2	4–2	.667	2	2	1	–	–
Western Athletic	2	0–2	–	–	–	–	–	–
Missouri Valley	1	2–1	.667	1	1	–	–	–
Atlantic 10	1	1–1	.500	1	–	–	–	–
Big West	1	1–1	.500	1	–	–	–	–
Colonial	1	1–1	.500	1	–	–	–	–
Metro	1	1–1	.500	1	–	–	–	–
Southland	1	1–1	.500	1	1	–	–	–
