Name	Date of Birth	Height	Weight	Spike	Block
Marcos Milinkovic	22.12.1971	205	100	355	338
Jorge Elgueta	21.11.1969	196	95	353	333
Gustavo Porporatto	07.05.1981	199	91	353	323
Diego Gutiérrez	27.05.1976	186	85	330	315
Hernán Ferraro	13.05.1968	170	74	300	300
Alejandro Spajic	07.05.1976	204	95	360	340
Jerónimo Bidegain	16.01.1977	200	93	352	335
Pablo Peralta	09.12.1979	204	100	350	330
Santiago Darraidou	24.11.1980	194	95	345	335
Leonardo Patti	06.07.1978	188	88	340	320
Pablo Meana	10.06.1975	187	86	325	315
Gastón Giani	26.04.1979	194	86	345	330
