Nat.	Name	Since	App(GS/Sub)	Goals	Transfer fee
ENG	Weaver	2007	18 (18/0)	0	Free
IRE	Randolph	2006	1 (1/0)	0	Youth system
IRE	Elliot	2006	0 (0/0)	0	Youth system
FRA	Moutaouakil	2007	6 (5/1)	0	£400,000
WAL	Thatcher	2007	14 (13/1)	0	£500,000
ENG	Powell	2007	10 (10/0)	0	Free
USA	Gibbs	2006	0 (0/0)	0	Free
Central African Republic	Youga	2005	0 (0/0)	0	Free
WAL	Basey	2007	5 (5/0)	0	Youth system
NGA	Sodje	2007	11 (5/6)	1	Loan
IRE	McCarthy	2007	7 (6/1)	1	£650,000
ALG	Bougherra	2007	18 (14/4)	0	£2.5m
ENG	Sankofa	2003	18 (14/4)	0	Youth system
ENG	Fortune	2001	164 (136/28)	8	Youth system
ENG	A. Thomas	2007	0 (0/0)	0	Youth system
CHN	Zheng	2006	28 (23/5)	6	£2m
IRE	Reid ( captain )	2006	35 (33/2)	7	£3m
IRE	Holland	2003	146 (132/14)	12	£900,000
ENG	Ambrose	2005	79 (54/25)	8	Undisclosed
ENG	Sinclair	2007	2 (1/1)	0	£125,000
FRA	Racon	2006	5 (3/2)	0	£400,000
POR	Semedo	2007	18 (18/0)	0	Free
ENG	Wright	2007	0 (0/0)	0	Youth system
IRE	Arter	2007	1 (0/1)	0	Youth system
SEN	Faye	2006	34 (29/5)	1	£2m
ENG	J. Thomas	2004	97 (69/28)	7	£100,000
ENG	Sam	2003	27 (17/10)	2	Youth system
DEN	Christensen	2007	0 (0/0)	0	£350,000
ENG	Bent	2006	52 (38/14)	5	£2.3m
BUL	Todorov	2007	9 (5/4)	3	Free
ENG	Varney	2007	14 (8/6)	3	£2m
SCO	Iwelumo	2007	19 (15/4)	7	Free
ENG	Walker	2006	0 (0/0)	0	Youth system
ENG	Dickson	2007	1 (0/1)	0	£50,000
ENG	McLeod	2007	13 (4/9)	0	£1.1m
