Season	Club	Country	Championship	National Cup	International Cup
2006–2007	CA Bizerte	Tunisian Ligue	? app / 0 goals	– app / – goal	– app / – goal
2007–2008	CA Bizerte	Tunisian Ligue	? app / 7 goals	– app / – goal	– app / – goal
2007–2008	Espérance Tunis	Tunisian Ligue	8 app / 1 goals	– app / – goal	– app / – goal
2008–2009	Espérance Tunis	Tunisian Ligue	21 app / 6 goals	– app / – goal	– app / – goal
2009–2010	Espérance Tunis	Tunisian Ligue	11 app / 6 goals	– app / – goal	– app / – goal
2009–2010	BSC Young Boys	Swiss Super League	15 app / 5 goals	– app / – goal	– app / – goal
2010–2011	BSC Young Boys	Swiss Super League	34 app / 16 goals	3 app / 3 goal	10 app / 3 goals
2011–2012	BSC Young Boys	Swiss Super League	6 app / 0 goals	– app / – goal	4 app / 1 goals
2011–2012	Fenerbahçe	Süper Lig	36 app / 8 goals	3 app / 4 goals	– app / – goal
2012–2013	Fenerbahçe	Süper Lig	2 app / 0 goals	0 app / 0 goals	3 app / 0 goal
