Date	Opponent	Score	Loss	Attendance	Record	Boxscore
April 3	Red Sox	9–2	Wells (0–1)	54,818	1–0	W1
April 5	Red Sox	4–3	Foulke (0–1)	54,690	2–0	W2
April 6	Red Sox	3–7	Rivera (1–1)	55,165	2–1	L1
April 8	Orioles	5–12	Wright (0–1)	43,128	2–2	L2
April 9	Orioles	8–5	Reed (0–1)	50,275	3–2	W1
April 10	Orioles	2–7	Pavano (0–1)	46,797	3–3	L1
April 11	@ Red Sox	1–8	Mussina (0–1)	33,072	3–4	L2
April 13	@ Red Sox	5–2	Schilling (0–1)	35,115	4–4	W1
April 14	@ Red Sox	5–8	Gordon (0–1)	35,251	4–5	L1
April 15	@ Orioles	1–8	Pavano (0–2)	48,061	4–6	L2
April 16	@ Orioles	6–7	Gordon (0–2)	48,598	4–7	L3
April 17	@ Orioles	4–8	Brown (0–1)	47,883	4–8	L4
April 18	Devil Rays	19–8	Bell (1–1)	35,282	5–8	W1
April 19	Devil Rays	2–6	Johnson (1–1)	45,802	5–9	L1
April 20	@ Blue Jays	11–2	Lilly (0–2)	22,838	6–9	W1
April 21	@ Blue Jays	4–3	Chacín (3–1)	23,178	7–9	W2
April 22	Rangers	3–5	Brown (0–2)	42,710	7–10	L1
April 23	Rangers	2–10	Wright (2–2)	44,731	7–11	L2
April 24	Rangers	11–1	Astacio (1–2)	42,732	8–11	W1
April 26	Angels	12–4	Colon (3–2)	36,328	9–11	W2
April 27	Angels	1–5	Mussina (1–2)	37,934	9–12	L1
April 28	Angels	1–3	Brown (0–3)	51,951	9–13	L2
April 29	Blue Jays	0–2	Johnson (2–2)	40,839	9–14	L3
April 30	Blue Jays	4–3	Chulk (0–1)	47,483	10–14	W1
