Conference	# of Bids	Record	Win %	Round of 32	Sweet Sixteen	Elite Eight	Final Four	Championship Game
Southeastern	6	9–6	.600	4	4	2	2	1
Atlantic Coast	4	5–4	.556	4	2	2	–	–
Atlantic 10	3	3–3	.500	3	1	–	–	–
Pacific-10	3	3–3	.500	3	3	–	–	–
Big Eight	3	2–3	.400	3	–	–	–	–
Big East	3	1–3	.250	2	–	–	–	–
Big Ten	2	3–2	.600	2	2	1	–	–
Southwest	2	2–2	.500	2	1	1	–	–
Metro Atlantic	2	0–2	–	–	–	–	–	–
Sun Belt	2	0–2	–	2	–	–	–	–
American South	1	5–0	1.000	1	1	1	1	1
Big West	1	3–1	.750	1	1	1	1	–
Colonial	1	1–1	.500	1	1	–	–	–
Metro	1	1–1	.500	1	–	–	–	–
Southland	1	1–1	.500	1	–	–	–	–
