Tie no	Home team	Score	Away team	Date
1	Southampton	0–0	Millwall	15 February 1986
Replay	Millwall	0–1	Southampton	5 March 1986
2	Watford	1–1	Bury	5 March 1986
Replay	Bury	0–3	Watford	8 March 1986
3	Derby County	1–1	Sheffield Wednesday	26 February 1986
Replay	Sheffield Wednesday	2–0	Derby County	5 March 1986
4	Luton Town	2–2	Arsenal	15 February 1986
Replay	Arsenal	0–0	Luton Town	3 March 1986
Replay	Luton Town	3–0	Arsenal	5 March 1986
5	Tottenham Hotspur	1–2	Everton	4 March 1986
6	Manchester United	1–1	West Ham United	15 February 1986
Replay	West Ham United	2–0	Manchester United	9 March 1986
7	York City	1–1	Liverpool	15 February 1986
Replay	Liverpool	3–1	York City	18 February 1986
8	Peterborough United	2–2	Brighton & Hove Albion	15 February 1986
Replay	Brighton & Hove Albion	1–0	Peterborough United	3 March 1986
