Name	Latitude	Longitude	Diameter (km)	Year named
Aitchison Patera	16.7S	349.4E	28.0	1994
Anning Paterae	66.5N	57.8E	0.0	1991
Anthony Patera	48.2N	32.6E	70.0	1991
Apgar Patera	43.1N	83.8E	126.0	1991
Aspasia Patera	56.4N	189.0E	200.0	1985
Ayrton Patera	6.0N	227.3E	85.0	1994
Ba'het Patera	48.4N	0.1E	145.0	1991
Bakhtadze Patera	45.5N	219.5E	50.0	1997
Barnes Patera	15.5S	229.2E	15.0	2003
Bers Patera	66.7S	183.0E	17.0	2000
Bethune Patera	46.5N	321.3E	94.0	1991
Boadicea Paterae	56.6N	96.5E	220.0	1991
Bremer Patera	66.8N	63.7E	91.0	1991
Carriera Patera	48.6N	48.8E	97.0	1991
Cassatt Patera	65.6N	207.7E	152.1	1991
Cavell Patera	37.9N	18.7E	76.0	1991
Cherskaya Patera	5.2S	232.5E	85.0	2003
Cleopatra Patera	66.0N	6.9E	119.0	1992
Colette Patera	66.3N	322.8E	149.0	1982
Corday Patera	62.7N	40.2E	135.0	1991
Darclée Patera	37.4S	263.8E	15.0	2006
Davies Patera	47.2N	269.3E	93.0	1991
Destinnová Patera	31.5S	250.2E	15.0	2006
Dietrich Patera	5.3S	235.3E	100.0	2003
Dutrieu Patera	33.8N	198.5E	80.0	2006
Eliot Patera	39.1N	79.0E	116.0	1991
Fedchenko Patera	24.0S	226.5E	75.0	1997
Fedosova Patera	45.0N	171.8E	24.0	1997
Garbo Patera	1.5N	258.2E	75.0	2003
Garland Patera	32.7N	206.8E	45.0	2006
Graham Patera	6.0S	6.0E	75.0	1997
Grizodubova Patera	16.7N	299.6E	50.0	1997
Hatshepsut Patera	28.1N	64.5E	118.0	1985
Hiei Chu Patera	48.2N	97.4E	139.0	1985
Hroswitha Patera	35.8N	34.8E	163.0	1985
Izumi Patera	50.0N	193.6E	74.0	1985
Jaszai Patera	32.0N	305.0E	70.0	1997
Jotuni Patera	6.5S	214.0E	100.0	1997
Keller Patera	45.0N	274.0E	69.0	1991
Kottauer Patera	36.7N	39.6E	136.0	1985
Kupo Patera	41.9S	195.5E	100.0	1997
Kvasha Patera	9.5S	69.0E	50.0	1997
Ledoux Patera	9.2S	224.8E	75.0	1994
Libby Patera	34.5S	199.5E	90.0	1997
Lindgren Patera	28.1N	241.4E	110.0	2006
Malibran Patera	18.4S	224.6E	60.0	2003
Malintzin Patera	57.0N	81.5E	60.0	1991
Mansfield Patera	29.5N	227.5E	80.0	1997
Mehseti Patera	16.0N	311.0E	60.0	1997
Mezrina Patera	33.3S	68.8E	60.0	2000
Mikhaylova Patera	26.8S	348.2E	70.0	1997
Nikolaeva Patera	33.9N	267.5E	100.0	2006
Nordenflycht Patera	35.0S	266.0E	140.0	1997
Nzingha Patera	68.7N	205.7E	85.5	1991
Panina Patera	13.0S	309.8E	50.0	1997
Payne-Gaposchkin Patera	25.5S	196.0E	100.0	1997
Pchilka Patera	26.5N	234.0E	100.0	1997
Pocahontas Patera	64.9N	49.4E	78.0	1991
Raskova Paterae	51.0S	222.8E	80.0	1994
Razia Patera	46.2N	197.8E	157.0	1985
Rogneda Patera	2.8S	220.5E	120.0	2003
Sacajawea Patera	64.3N	335.4E	233.0	1982
Sachs Patera	49.1N	334.2E	65.0	1991
Sand Patera	41.7N	15.5E	181.0	1991
Sappho Patera	14.1N	16.5E	225.0	1979
Schumann-Heink Patera	74.3N	214.5E	121.7	1991
Serova Patera	20.0N	247.0E	60.0	1997
Shelikhova Patera	75.7S	162.5E	60.0	1997
Shulzhenko Patera	6.5N	264.5E	60.0	1997
Siddons Patera	61.6N	340.6E	47.0	1997
Stopes Patera	42.6N	46.5E	169.0	1991
Tarbell Patera	58.2S	351.5E	80.0	1994
Teasdale Patera	67.6S	189.1E	75.0	1994
Tenisheva Patera	1.4S	254.8E	80.0	2000
Tey Patera	17.8S	349.1E	20.0	1994
Theodora Patera	23.0N	280.0E	0.0	1982
Tipporah Patera	38.9N	43.0E	99.0	1985
Tituba Patera	42.4N	214.7E	163.0	1991
Trotula Patera	41.3N	18.9E	146.0	1985
Viardot Patera	7.0S	254.3E	55.0	2000
Vibert-Douglas Patera	11.6S	194.3E	45.0	2003
Villepreux-Power Patera	22.0S	210.0E	100.0	1997
Vovchok Patera	38.0S	310.0E	80.0	1997
Wilde Patera	21.3S	266.3E	75.0	2000
Witte Patera	25.8S	247.65E	35.0	2006
Woodhull Patera	37.4N	305.4E	83.0	1991
Yaroslavna Patera	38.8N	21.2E	112.0	1985
Žemaite Patera	35.0S	263.0E	60.0	1997
