Tie no	Home team	Score	Away team	Date
1	Sheffield Wednesday	2–2	Chelsea	9 March 1968
Replay	Chelsea	2–0	Sheffield Wednesday	12 March 1968
2	Everton	2–0	Tranmere Rovers	9 March 1968
3	Tottenham Hotspur	1–1	Liverpool	9 March 1968
Replay	Liverpool	2–1	Tottenham Hotspur	12 March 1968
4	Portsmouth	1–2	West Bromwich Albion	9 March 1968
5	West Ham United	1–2	Sheffield United	9 March 1968
6	Arsenal	1–1	Birmingham City	9 March 1968
Replay	Birmingham City	2–1	Arsenal	12 March 1968
7	Leeds United	2–0	Bristol City	9 March 1968
8	Rotherham United	1–1	Leicester City	9 March 1968
Replay	Leicester City	2–0	Rotherham United	13 March 1968
