Game	Date	Referee	Umpire	Head Linesman	Line Judge	Field Judge	Back Judge
V	17 January 1971	Norm Schachter	Paul Trepinski	Ed Marion	Jack Fette	Fritz Graf	Hugh Gamber
VI	16 January 1972	Jim Tunney	Joe Connell	Al Sabato	Art Holst	Bob Wortman	Ralph Vandenberg
VII	14 January 1973	Tom Bell	Lou Palazzi	Tony Veteri	Bruce Alford	Tony Skover	Tom Kelleher
VIII	13 January 1974	Ben Dreith	Ralph Morcroft	Leo Miles	Jack Fette	Fritz Graf	Stan Javie
IX	12 January 1975	Bernie Ulman	Al Conway	Ed Marion	Bruce Alford	Dick Dolack	Ray Douglas
X	18 January 1976	Norm Schachter	Joe Connell	Leo Miles	Jack Fette	Bill O'Brien	Stan Javie
XI	9 January 1977	Jim Tunney	Lou Palazzi	Ed Marion	Bill Swanson	Armen Terzian	Tom Kelleher
XII	15 January 1978	Jim Tunney	Joe Connell	Tony Veteri	Art Holst	Bob Wortman	Ray Douglas
XIII	21 January 1979	Pat Haggerty	Art Demmas	Jerry Bergman	Jack Fette	Fred Swearingen	Pat Knight
XIV	20 January 1980	Fred Silva	Al Conway	Burl Toler	Bob Beeks	Charley Musser	Stan Javie
XV	25 January 1981	Ben Dreith	Frank Sinkovitz	Tony Veteri	Tom Dooley	Fritz Graf	Tom Kelleher
XVI	24 January 1982	Pat Haggerty	Al Conway	Jerry Bergman	Bob Beeks	Don Hakes	Bill Swanson
XVII	30 January 1983	Jerry Markbreit	Art Demmas	Dale Hamer	Bill Reynolds	Don Orr	Dick Hantak
XVIII	22 January 1984	Gene Barth	Gordon Wells	Jerry Bergman	Bob Beeks	Fritz Graf	Gil Mace
XIX	20 January 1985	Pat Haggerty	Tom Hensley	Leo Miles	Ray Dodez	Bob Lewis	Tom Kelleher
XX	26 January 1986	Red Cashion	Ron Botchan	Dale Williams	Bama Glass	Jack Vaughan	Al Jury
XXI	25 January 1987	Jerry Markbreit	Bob Boylston	Terry Gierke	Bob Beeks	Pat Mallette	Jim Poole
XXII	31 January 1988	Bob McElwee	Al Conway	Dale Hamer	Jack Fette	Johnny Grier	Al Jury
XXIII	22 January 1989	Jerry Seeman	Gordon Wells	Jerry Bergman	Bob Beeks	Bobby Skelton	Paul Baetz
XXIV	28 January 1990	Dick Jorgensen	Hendi Ancich	Earnie Frantz	Ron Blum	Don Orr	Al Jury
XXV	27 January 1991	Jerry Seeman	Art Demmas	Sid Semon	Dick McKenzie	Jack Vaughan	Banks Williams
XXVI	26 January 1992	Jerry Markbreit	Bob Boylston	Dale Williams	Ron Blum	Paul Baetz	Ed Merrifield
XXVII	31 January 1993	Dick Hantak	Ron Botchan	Ron Phares	Dick McKenzie	Donnie Hampton	Jim Poole
XXVIII	30 January 1994	Bob McElwee	Art Demmas	Sid Semon	Tom Barnes	Don Orr	Al Jury
XXIX	29 January 1995	Jerry Markbreit	Ron Botchan	Ron Phares	Ron Baynes	Jack Vaughan	Tim Millis
XXX	28 January 1996	Red Cashion	John Keck	Paul Weidner	Dale Orem	Don Hakes	Dick Creed
XXXI	26 January 1997	Gerald Austin	Ron Botchan	Earnie Frantz	Jeff Bergman	Phil Luckett	Scott Steenson
XXXII	25 January 1998	Ed Hochuli	Jim Quirk	John Schleyer	Ben Montgomery	Don Dorkowski	Paul Baetz
XXXIII	31 January 1999	Bernie Kukar	Jim Daopoulos	Sanford Rivers	Ron Baynes	Tim Millis	Don Hakes
XXXIV	30 January 2000	Bob McElwee	Ron Botchan	Earnie Frantz	Byron Boston	Al Jury	Bill Leavy
XXXV	28 January 2001	Gerald Austin	Chad Brown	Tony Veteri, Jr.	Walt Anderson	Bill Lovett	Bill Schmitz
XXXVI	3 February 2002	Bernie Kukar	Jeff Rice	Mark Hittner	Ron Phares	Pete Morelli	Scott Green
XXXVII	26 January 2003	Bill Carollo	Ed Coukart	Dale Williams	Mark Steinkerchner	Tom Sifferman	Don Carey
XXXVIII	1 February 2004	Ed Hochuli	Jeff Rice	Mark Hittner	Ben Montgomery	Tom Sifferman	Scott Green
XXXIX	6 February 2005	Terry McAulay	Carl Paganelli	Gary Slaughter	Mark Steinkerchner	Tom Sifferman	Tony Steratore
XL	5 February 2006	Bill Leavy	Garth DeFelice	Mark Hittner	Mark Perlman	Steve Zimmer	Bob Waggoner
XLI	4 February 2007	Tony Corrente	Carl Paganelli	George Hayward	Ron Marinucci	Jim Saracino	Perry Paganelli
XLII	3 February 2008	Mike Carey	Tony Michalek	Gary Slaughter	Carl Johnson	Boris Cheek	Scott Helverson
XLIII	1 February 2009	Terry McAulay	Roy Ellison	Derrick Bowers	Mark Perlman	Greg Gautreaux	Keith Ferguson
XLIV	7 February 2010	Scott Green	Undrey Wash	John McGrath	Jeff Seeman	Rob Vernatchi	Greg Steed
XLV	6 February 2011	Walt Anderson	Chad Brown	Kent Payne	John Hussey	Doug Rosenbaum	Scott Helverson
XLVI	5 February 2012	John Parry	Carl Paganelli	Tom Stabile	Gary Arthur	Gary Cavaletto	Tony Steratore
XLVII	3 February 2013	Jerome Boger	Darrell Jenkins	Steve Stelljes	Byron Boston	Craig Wrolstad	Dino Paganelli
