Rider	Manufacturer	Laps	Time	Grid
Valentino Rossi	Yamaha	21	43:06.007	2
Dani Pedrosa	Honda	21	+4.008	1
Andrea Dovizioso	Honda	21	+8.536	6
Nicky Hayden	Honda	21	+8.858	4
Shinya Nakano	Honda	21	+10.583	15
Casey Stoner	Ducati	21	+13.640	7
Loris Capirossi	Suzuki	21	+15.936	8
Colin Edwards	Yamaha	21	+18.802	5
Chris Vermeulen	Suzuki	21	+23.174	11
Randy de Puniet	Honda	21	+25.516	9
John Hopkins	Kawasaki	21	+27.609	10
Anthony West	Kawasaki	21	+41.399	13
Sylvain Guintoli	Ducati	21	+45.617	16
Alex de Angelis	Honda	21	+49.003	17
Toni Elias	Ducati	21	+59.139	19
Marco Melandri	Ducati	21	+1:03.328	14
Nobuatsu Aoki	Suzuki	21	+1:48.363	18
Jorge Lorenzo	Yamaha	12	Accident	3
James Toseland	Yamaha	2	Accident	12
