Rank	Group	Athlete	Nationality	Result
1	A	Kirill Sosunov	Russia	8.14
2	B	Gregor Cankar	Slovenia	8.07
3	A	Kofi Amoah Prah	Germany	7.95
4	B	Simone Bianchi	Italy	7.91
5	A	Paolo Camossi	Italy	7.90
6	B	Emmanuel Bangué	France	7.88
7	B	Kader Klouchi	France	7.86
8	B	Mattias Sunneborn	Sweden	7.84
9	A	Petar Dachev	Bulgaria	7.83
10	A	Konstadinos Koukodimos	Greece	7.82
11	B	Bogdan Țăruș	Romania	7.81
12	B	Yago Lamela	Spain	7.77
13	B	Aleksandr Glavatskiy	Belarus	7.76
13	B	Stanislav Tarasenko	Russia	7.76
15	B	Roman Shchurenko	Ukraine	7.75
16	A	Tomas Bardauskas	Lithuania	7.74
16	B	Milan Kovar	Czech Republic	7.74
16	B	Konstantin Krause	Germany	7.74
19	A	Olexiy Lukashevych	Ukraine	7.72
19	B	Dimitrios Chatzopoulos	Greece	7.72
21	A	Aleksey Musikhin	Russia	7.69
22	A	Thorsten Heide	Germany	7.68
22	A	Michael Loria	France	7.68
24	A	Nathan Morgan	Great Britain	7.67
25	A	Bogdan Tudor	Romania	7.66
26	A	Danial Jahić	Yugoslavia	7.63
27	A	Martin Lobel	Austria	7.62
28	A	Peter Häggström	Sweden	7.59
29	A	Siniša Ergotić	Croatia	7.57
30	A	Raúl Fernández	Spain	7.56
30	B	Grzegorz Marciniszyn	Poland	7.56
32	B	Steven Phillips	Great Britain	7.56
33	A	Otto Karki	Finland	7.51
34	B	Robert Emmiyan	Armenia	7.43
35	B	Galin Georgiev	Bulgaria	7.30
36	B	Dimitros Filidras	Greece	7.29
37	A	Carlos Castelbranco	Portugal	6.68
