Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2005	Formula Renault 2.0 Germany	Motopark Oschersleben	14	4	6	5	8	273	3rd
2005	Eurocup Formula Renault 2.0	Motopark Academy	14	0	1	0	2	63	5th
2005	Spanish Formula Three	Racing Engineering	12	1	1	0	3	52	6th
2006	Eurocup Formula Renault 2.0	Motopark Academy	14	4	4	1	4	99	1st
2006	Formula Renault 2.0 NEC	Motopark Academy	14	4	2	1	10	312	1st
2007	Formula Renault 3.5 Series	Epsilon Euskadi	17	1	0	1	2	81	4th
2007	GP2 Series	Racing Engineering	4	0	0	0	0	0	32nd
2007	GP2 Series	Arden International	4	0	0	0	0	0	32nd
2007–08	A1 Grand Prix	A1 Team Portugal	8	0	0	0	3	59	11th
2008	Formula Renault 3.5 Series	Epsilon Euskadi	4	0	0	0	0	12	21st
2008–09	A1 Grand Prix	A1 Team Portugal	14	1	0	2	6	92	3rd
2009	Italian GT Championship – GT3	Audi Sport Italia	2	1	0	0	2	34	18th
2009	Campionato Italiano Superstars	Audi Sport Italia	2	0	0	0	2	30	13th
2009	International Superstars Series	Audi Sport Italia	2	0	0	0	2	30	11th
2010	Italian GT Championship – GT3	Audi Sport Italia	14	2	1	1	9	144	2nd
2010	Campionato Italiano Superstars	Audi Sport Italia	2	1	0	0	1	20	15th
2010	International Superstars Series	Audi Sport Italia	2	1	0	0	1	20	13th
2011	Deutsche Tourenwagen Masters	Team Rosberg	10	0	0	0	1	9	12th
2011	Blancpain Endurance Series – GT3 Pro Cup	Belgian Audi Club	5	0	1	0	3	74	3rd
2011	Italian GT Championship – GT3	Audi Sport Italia	14	2	1	1	9	30	13th
