Outcome	Date	Tournament	Surface	Opponent	Score
Winner	9 October 2005	Medellín , Colombia	Clay	Luciano Vitullo	2–6, 6–4, 7–5
Winner	7 May 2006	Cali , Colombia	Clay	Carlos Salamanca	6–4, 6–2
Winner	25 June 2006	Sorocaba , Brazil	Clay	Eduardo Portal	7–6 (8–6) , 6–2
Winner	23 July 2006	Bogotá , Colombia	Clay	Bruno Echagaray	6–3, 1–6, 6–2
Winner	18 March 2007	Bogotá , Colombia	Clay	Flávio Saretta	7–6 (7–4) , 6–2
Winner	14 October 2007	Quito , Ecuador	Clay	Giovanni Lapentti	7–6 (7–4) , 6–4
Runner–up	2 June 2008	Fürth , Germany	Clay	Daniel Köllerer	6–1, 6–3
Winner	17 January 2009	Salinas , Ecuador	Hard	Michael Russell	6–3, 6–2
Winner	17 April 2009	San Luis Potosí , Mexico	Clay	Paolo Lorenzi	6–2, 6–7 (3–7) , 6–2
Winner	11 October 2009	Sacramento, California , USA	Hard	Jesse Levine	7–6 (7–4) , 6–1
Runner–up	9 November 2009	Guayaquil , Ecuador	Clay	Nicolás Lapentti	6–2, 2–6, 7–6 (7–4)
Winner	18 April 2010	Pereira , Colombia	Clay (Red)	Paolo Lorenzi	6–3, 6–3
Runner–up	9 July 2012	Bogotá , Colombia	Clay	Alejandro Falla	7–5, 6–3
Winner	25 March 2013	Pereira , Colombia	Clay (Red)	Paul Capdeville	6–2, 6–4
Runner–up	1 July 2013	Todi , Italy	Clay	Pere Riba	7–6 (7–5) , 2–6, 7–6 (8–6)
