Pick #	Round	Player	Position	College
7	Round 1	Ken Ruettgers	Guard	USC
71	Round 3	Rich Moran	Guard	San Diego State
98	Round 4	Walter Stanley	Wide Receiver	Mesa State
125	Round 5	Brian Noble	Linebacker	Arizona State
155	Round 6	Mark Lewis	Tight End	Texas A&M
171	Round 7	Eric Wilson	Linebacker	Maryland
182	Round 7	Gary Ellerson	Running Back	Wisconsin
209	Round 8	Ken Stills	Defensive Back	Wisconsin
239	Round 9	Morris Johnson	Guard	Alabama A&M
266	Round 10	Ronnie Burgess	Defensive Back	Wake Forest
294	Round 11	Joe Shield	Quarterback	Trinity
323	Round 12	Jim Meyer	Punter	Arizona State
