Township	County	Pop. (2010)	Land ( sqmi )	Water (sqmi)	Latitude	Longitude	GEO ID	ANSI code
Oak Creek	Bottineau	24	35.445	0.000	48.675399	-100.471642	3800958700	1759286
Oak Valley	Bottineau	52	36.016	0.087	48.777318	-100.511814	3800958860	1759287
Oakhill	Barnes	51	35.414	0.081	46.679076	-98.017963	3800358780	1036402
Oakland	Mountrail	26	35.167	0.785	48.157497	-102.109269	3806158820	1036997
Oakville	Grand Forks	200	35.059	0.047	47.883391	-97.305536	3803558900	1036604
Oakwood	Walsh	228	33.526	0.000	48.412107	-97.339101	3809958980	1036534
Oberon	Benson	67	57.388	0.522	47.925443	-99.244476	3800559060	2397849
Odessa	Hettinger	16	35.766	0.060	46.583226	-102.104455	3804159100	1759459
Odessa	Ramsey	49	37.897	8.314	47.968754	-98.587529	3807159140	1759587
Odin	McHenry	46	34.424	1.722	47.986751	-100.637016	3804959180	1759507
Oliver	Williams	8	35.987	0.024	48.423293	-103.320183	3810559260	1037033
Olivia	McHenry	40	35.874	0.035	47.900358	-100.769959	3804959300	1759508
Olson	Towner	19	35.033	0.954	48.505811	-99.287008	3809559380	1759659
Ontario	Ramsey	72	33.923	1.990	48.163172	-98.601321	3807159460	1759588
Ops	Walsh	63	36.015	0.000	48.238231	-97.578927	3809959540	1036518
Ora	Nelson	69	34.414	0.697	47.722982	-97.946877	3806359580	1036557
Orange	Adams	22	35.802	0.133	46.012558	-102.053893	3800159620	1037214
Oriska	Barnes	65	35.082	0.087	46.935397	-97.752733	3800359700	1036418
Orlien	Ward	47	35.645	0.720	47.985154	-101.796936	3810159740	1036954
Orthell	Williams	12	35.894	0.034	48.495353	-103.728983	3810559860	1759732
Osago	Nelson	31	35.400	0.198	47.800898	-98.328474	3806359900	1036565
Osborn	Mountrail	285	30.296	4.988	47.987208	-102.429987	3806159940	1034001
Osford	Cavalier	47	35.803	0.052	48.585234	-98.115821	3801959980	1759377
Oshkosh	Wells	56	34.747	0.065	47.623026	-99.576942	3810360020	1759708
Osloe	Mountrail	41	35.077	0.903	48.146259	-101.976499	3806160060	1036937
Osnabrock	Cavalier	36	35.505	0.439	48.594234	-98.241946	3801960140	2397851
Ostby	Bottineau	45	35.452	0.027	48.581052	-100.352948	3800960180	1759288
Otis	McLean	41	35.152	0.656	47.799001	-100.896513	3805560260	1759541
Overland	Ramsey	14	35.602	0.400	48.406215	-98.644574	3807160340	1759589
Ovid	LaMoure	46	35.328	0.505	46.318992	-98.107769	3804560420	1036886
