Country	Skip	W	L	PF	PA	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot %
Canada	Jennifer Jones	10	1	92	57	49	31	10	12	87%
Germany	Andrea Schöpp	8	3	78	63	47	41	14	11	81%
Scotland	Eve Muirhead	8	3	90	54	48	37	9	13	82%
Sweden	Cecilia Östlund	7	4	74	71	43	46	7	13	81%
United States	Erika Brown	7	4	81	69	51	41	10	12	78%
Denmark	Angelina Jensen	6	5	84	68	46	44	7	13	81%
China	Wang Bingyu	6	5	78	80	51	45	5	16	81%
Russia	Anna Sidorova	5	6	66	66	47	41	15	13	79%
Norway	Linn Githmark	3	8	63	76	40	51	12	7	77%
Switzerland	Binia Feltscher	3	8	63	76	46	48	11	12	78%
Japan	Moe Meguro	2	9	53	88	40	52	8	9	74%
