Place	Player	Country	Score	To par	Money ( $ )
1	Hale Irwin	United States	73-70-71-73=287	+7	35,000
2	Forrest Fezler	United States	75-70-74-70=289	+9	18,000
T3	Lou Graham	United States	71-75-74-70=290	+10	11,500
T3	Bert Yancey	United States	76-69-73-72=290	+10	11,500
T5	Jim Colbert	United States	72-77-69-74=292	+12	8,000
T5	Arnold Palmer	United States	73-70-73-76=292	+12	8,000
T5	Tom Watson	United States	73-71-69-79=292	+12	8,000
T8	Tom Kite	United States	74-70-77-72=293	+13	5,500
T8	Gary Player	South Africa	70-73-77-73=293	+13	5,500
T10	Buddy Allin	United States	76-71-74-73=294	+14	3,750
T10	Jack Nicklaus	United States	75-74-76-69=294	+14	3,750
