Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Radcliffe Borough	38	10	4	67	33	+34	58
2	Caernarfon Town	38	9	6	73	40	+33	55
3	Burscough	38	7	8	81	46	+35	53
4	Stalybridge Celtic	38	10	7	89	40	+49	52
5	Eastwood Hanley	38	12	6	72	42	+30	52
6	Curzon Ashton	38	6	11	85	60	+25	48
7	Winsford United	38	7	11	58	37	+21	47
8	Fleetwood Town	38	8	12	84	57	+27	44
9	Leek Town	38	11	11	52	38	+14	43
10	Congleton Town	38	11	14	46	49	−3	37
11	Leyland Motors	38	8	17	52	67	−15	34
12	St Helens Town	38	9	17	64	75	−11	33
13	Prescot Cables	38	7	18	64	68	−4	31 2
14	Bootle	38	11	17	34	48	−14	31
15	Accrington Stanley	38	8	19	45	59	−14	30
16	Glossop	38	11	19	46	70	−24	27
17	Formby	38	9	20	41	79	−38	25 2
18	Netherfield	38	9	22	42	80	−38	23
19	Lancaster City	38	5	25	46	90	−44	21
20	Penrith	38	4	30	36	99	−63	12
