Player	No.	Nationality	Position	Years in Toronto	School/Club Team
Jarrett Jack	1	United States	Guard	2009-10	Georgia Tech
Jermaine Jackson	8	United States	Guard	2002-03	Detroit
Luke Jackson	6	United States	Guard-Forward	2007	Oregon
Mark Jackson	13	United States	Guard	2000-01	St. John's
Mike James	13	United States	Guard	2005-06	Duquesne
Nathan Jawai	21	Australia	Forward-Center	2009	Midland College
Chris Jefferies	1, 32	United States	Forward	2002-03	Fresno State
Amir Johnson	15	United States	Forward-Center	2009-present	Westchester High School
James Johnson	0, 2	United States	Forward	2011-2012	Wake Forest
Linton Johnson	13	United States	Forward	2008	Tulane
Trey Johnson	12	United States	Guard	2011	Jackson State
Fred Jones	20	United States	Guard	2006-07	Oregon
Popeye Jones	54	United States	Forward	1996-98	Murray State
