Player	FCSL Team	Years Played	Year Drafted	Round	MLB Team
Mike McClendon	Winter Park	2006	2006	10th	Milwaukee Brewers
Corey Brown	Orlando Shockers	2006	2007	1st	Oakland Athletics
Jonathan Lucroy	Sanford	2005 – 06	2007	3rd	Milwaukee Brewers
Alan Farina	Orlando Shockers	2005	2007	3rd	Toronto Blue Jays
Jonathan Holt	Leesburg	2006 - 2007	2007	5th	Cleveland Indians
Dee Gordon	Belleview	2008	2008	4th	Los Angeles Dodgers
Mycal Jones	Leesburg	2007 - 2008	2009	4th	Atlanta Braves
Kent Matthes	Winter Pines	2008	2009	4th	Colorado Rockies
Thomas Berryhill	DeLand	2008	2009	5th	Atlanta Braves
Jimmy Nelson	DeLand	2009	2010	2nd	Milwaukee Brewers
Dante Bichette Jr.	Winter Park	2011	2011	1st	New York Yankees
Peter O'Brien	DeLand	2010	2012	2nd	New York Yankees
Brandon Thomas	Sanford	2010	2012	4th	Pittsburgh Pirates
