Game	Date	Opponent	Score	High points	High rebounds	High assists	Location	Record
2	June 1	Charlotte	W 82-79	Sales (24)	McWilliams (9)	S. Johnson (7)	TD Waterhouse Centre	1-1
3	June 3	@ Indiana	W 88-82	S. Johnson (16)	dos Santos , McWilliams (5)	S. Johnson (10)	Conseco Fieldhouse	2-1
4	June 5	Sacramento	W 75-68	Sales (22)	McWilliams (12)	S. Johnson (8)	TD Waterhouse Centre	3-1
5	June 7	@ Cleveland	L 79-83 (OT)	Sales (24)	McWilliams (8)	S. Johnson (8)	Gund Arena	3-2
6	June 8	Minnesota	L 57-71	McWilliams (18)	McWilliams (9)	S. Johnson (3)	TD Waterhouse Centre	3-3
7	June 10	@ Charlotte	W 74-71	McWilliams , Sales (20)	McWilliams , dos Santos (6)	McWilliams (6)	Gund Arena	4-3
8	June 13	@ Utah	W 88-80	S. Johnson (19)	Sales (6)	S. Johnson (12)	Delta Center	5-3
9	June 15	@ Minnesota	L 66-72	Sales (23)	dos Santos (11)	S. Johnson (3)	Target Center	5-4
10	June 17	Indiana	L 54-79	McWilliams (11)	McWilliams (6)	S. Johnson (4)	TD Waterhouse Centre	5-5
11	June 22	Cleveland	W 77-64	McWilliams (22)	McWilliams (11)	Five Players (3)	TD Waterhouse Centre	6-5
12	June 24	Charlotte	W 69-68	Sales (22)	Sales (10)	dos Santos (4)	TD Waterhouse Centre	7-5
13	June 26	Houston	L 58-70	McWilliams , Sales (14)	S. Johnson (11)	S. Johnson (6)	TD Waterhouse Centre	7-6
14	June 28	Miami	W 61-53	S. Johnson (14)	McWilliams (8)	S. Johnson (4)	TD Waterhouse Centre	8-6
