Model no.	Gen.	Released	Capacity	Cache	Interface	Feature set	Sector Size
WD360GD	1	2003	36 GB	8 MB	Parallel ATA to Serial ATA bridge	–	512 bytes
WD740GD	2	2004	74 GB	8 MB	Parallel ATA to Serial ATA bridge	TCQ	512 s byte
WD360ADFD	3	2006	36 GB	16 MB	Native SATA	NCQ	512 bytes
WD740ADFD	3	2006	74 GB	16 MB	Native SATA	NCQ	512 bytes
WD1500ADFD	3	2006	150 GB	16 MB	Native SATA	NCQ	512 bytes
WD1500AHFD	3	2006	150 GB	16 MB	Native SATA	NCQ	512 bytes
WD800HLFS	4	2008	80 GB	16 MB	Native SATA 3 Gbit /s	NCQ	512 bytes
WD1500BLFS	4	2008	150 GB	16 MB	Native SATA 3 Gbit/s	NCQ	512 bytes
WD1500HLFS	4	2008	150 GB	16 MB	Native SATA 3 Gbit/s	NCQ	512 bytes
WD3000BLFS	4	2008	300 GB	16 MB	Native SATA 3 Gbit/s	NCQ	512 bytes
WD3000GLFS	4	2008	300 GB	16 MB	Native SATA 3 Gbit/s	NCQ	512 bytes
WD3000HLFS	4	2008	300 GB	16 MB	Native SATA 3 Gbit/s	NCQ	512 bytes
WD3000HLHX	5	2010	300 GB	32 MB	Native SATA 6 Gbit/s	NCQ	512 bytes
WD4500BLHX	5	2010	450 GB	32 MB	Native SATA 6 Gbit/s	NCQ	512 bytes
WD4500HLHX	5	2010	450 GB	32 MB	Native SATA 6 Gbit/s	NCQ	512 bytes
WD6000BLHX	5	2010	600 GB	32 MB	Native SATA 6 Gbit/s	NCQ	512 bytes
WD6000HLHX	5	2010	600 GB	32 MB	Native SATA 6 Gbit/s	NCQ	512 bytes
WD1500HLHX	5	2011	150 GB	32 MB	Native SATA 6 Gbit/s	NCQ	512 bytes
WD1600HLHX	5	2011	160 GB	32 MB	Native SATA 6 Gbit/s	NCQ	512 bytes
WD3000HLHX	5	2011	300 GB	32 MB	Native SATA 6 Gbit/s	NCQ	512 bytes
WD6000HLHX	5	2011	600 GB	32 MB	Native SATA 6 Gbit/s	NCQ	512 bytes
WD2500HHTZ	6	2012	250 GB	64 MB	Native SATA 6 Gbit/s	NCQ	4096 bytes
WD5000HHTZ	6	2012	500 GB	64 MB	Native SATA 6 Gbit/s	NCQ	4096 bytes
WD1000DHTZ	6	2012	1000 GB	64 MB	Native SATA 6 Gbit/s	NCQ	4096 bytes
Special models	Special models	Special models	Special models	Special models	Special models	Special models	Special models
WD800GD	2	2004	80 GB	8 MB	Parallel ATA to Serial ATA bridge	TCQ	512 bytes
WD800ADFD	3	2006	80 GB	16 MB	Native SATA	NCQ	512 bytes
WD800ADFS	3	2006	80 GB	16 MB	Native SATA 3 Gbit/s	NCQ	512 bytes
WD1600ADFS	3	2006	160 GB	16 MB	Native SATA 3 Gbit/s	NCQ	512 bytes
WD800HLFS	4	2008	80 GB	16 MB	Native SATA 3 Gbit/s	NCQ	512 bytes
WD1600HLFS	4	2008	160 GB	16 MB	Native SATA 3 Gbit/s	NCQ	512 bytes
