Team	Head Coach	City	Stadium	Capacity
VfR Aalen	Rainer Scharinger	Aalen	Städtisches Waldstadion	11,183
FC Erzgebirge Aue	Heiko Weber	Aue	Erzgebirgsstadion	16,350
1. FC Union Berlin	Uwe Neuhaus	Berlin	Friedrich-Ludwig-Jahn-Sportpark 1	19,708
Eintracht Braunschweig	Torsten Lieberknecht	Braunschweig	Eintracht-Stadion	23,500
SV Werder Bremen II	Thomas Wolter	Bremen	Weserstadion Platz 11	5,500
SV Wacker Burghausen	Ralf Santelli (interim)	Burghausen	Wacker Arena	8,400
Dynamo Dresden	Ruud Kaiser	Dresden	Rudolf Harbig Stadion	23,940
Fortuna Düsseldorf	Norbert Meier	Düsseldorf	LTU-Arena	51,500
Kickers Emden	Stefan Emmerling	Emden	Embdena-Stadion	7,200
FC Rot-Weiß Erfurt	Henri Fuchs (interim)	Erfurt	Steigerwaldstadion	20,000
FC Carl Zeiss Jena	Marc Fascher	Jena	Ernst-Abbe-Sportfeld	15,610
FC Bayern Munich II	Mehmet Scholl (interim)	Munich	Grünwalder Stadion	10,240
Kickers Offenbach	Hans-Jürgen Boysen	Offenbach am Main	Bieberer Berg Stadion	31,500
SC Paderborn 07	André Schubert (interim)	Paderborn	Paragon Arena	15,300
SSV Jahn Regensburg	Markus Weinzierl	Regensburg	Jahnstadion	11,800
SV Sandhausen	Gerd Dais	Sandhausen	Hardtwaldstadion	11,544
Stuttgarter Kickers	Rainer Kraft	Stuttgart	GAZi-Stadion auf der Waldau	11,436
VfB Stuttgart II	Rainer Adrion	Stuttgart	GAZi-Stadion auf der Waldau	11,436
SpVgg Unterhaching	Ralph Hasenhüttl	Unterhaching	Generali Sportpark	15,053
Wuppertaler SV Borussia	Uwe Fuchs	Wuppertal	Zoo-Stadion	28,000
