Tie no	Home team	Score	Away team	Date
1	Blackpool	3–0	Chester City	9 Dec 1989
2	Chesterfield	0–2	Huddersfield Town	9 Dec 1989
3	Darlington	3–0	Halifax Town	9 Dec 1989
4	Bristol City	2–1	Fulham	9 Dec 1989
5	Rochdale	3–0	Lincoln City	9 Dec 1989
6	Reading	0–0	Welling United	9 Dec 1989
Replay	Welling United	1–1	Reading	13 Dec 1989
Replay	Reading	0–0	Welling United	19 Dec 1989
Replay	Welling United	1–2	Reading	22 Dec 1989
7	Walsall	1–0	Rotherham United	9 Dec 1989
8	Grimsby Town	1–0	Doncaster Rovers	9 Dec 1989
9	Crewe Alexandra	1–1	Bishop Auckland	9 Dec 1989
Replay	Bishop Auckland	0–2	Crewe Alexandra	13 Dec 1989
10	Maidstone United	1–1	Exeter City	9 Dec 1989
Replay	Exeter City	3–2	Maidstone United	13 Dec 1989
11	Northampton Town	0–0	Aylesbury United	9 Dec 1989
Replay	Aylesbury United	0–1	Northampton Town	13 Dec 1989
12	Whitley Bay	2–0	Preston North End	9 Dec 1989
13	Scunthorpe United	2–2	Burnley	9 Dec 1989
Replay	Burnley	1–1	Scunthorpe United	12 Dec 1989
Replay	Burnley	5–0	Scunthorpe United	18 Dec 1989
14	Cardiff City	2–2	Gloucester City	9 Dec 1989
Replay	Gloucester City	0–1	Cardiff City	12 Dec 1989
15	Hereford United	3–2	Merthyr Tydfil	9 Dec 1989
16	Wigan Athletic	2–0	Carlisle United	9 Dec 1989
17	Colchester United	0–2	Birmingham City	9 Dec 1989
18	Basingstoke Town	2–3	Torquay United	9 Dec 1989
19	Cambridge United	3–1	Woking	9 Dec 1989
20	Swansea City	3–1	Peterborough United	9 Dec 1989
