Rank	Rider	Team	Speed	Time
1	Nick Crowe / Mark Cox	LCR Honda 600cc	114.372mph	59’ 22.80
2	John Holden/Andrew Winkle	LCR Suzuki 600cc	113.751mph	59’ 42.24
3	Tim Reeves /Patrick Farrance	LCR Suzuki 600cc	111.096mph	1:01.07.84
4	Phil Dongworth/Stuart Castles	Ireson Honda 600cc	111.011mph	1:01.10.68
5	Nigel Connole/ Dipash Chauhan	LCR Honda 600cc	109.926mph	1:01.46.90
6	Douglas Wright/Stuart Bond	Honda 600cc	109.817mph	1:01.50.57
7	Gary Bryan/Robert Bell	Yamaha 600cc	108.347mph	1:02.36.68
8	Tony Elmer/Darren Marshall	Ireson Yamaha 600cc	108.347mph	1:02.40.93
9	Roy Hanks/Dave Wells	DMR Suzuki 600cc	108.141mph	1:02.48.08
10	Greg Lambert/Sally Wilson	DMR Honda 600cc	107.954mph	1:02.54.60
