Date	Tournament	Surface	Opponent in the final	Score
June 28, 1999	Alexandroupolis	Clay	Cyril Saulnier	6–4, 4–6, 6–4
June 26, 2000	Nafplion	Hard	Ferran Ventura	6–4, 6–0
July 3, 2000	Ioannina	Hard	Srinath Prahlad	6–2, 6–2
October 23, 2000	Chania	Hard	Ivan Vajda	4–6, 6–4, 6–4
July 2, 2001	Bucharest	Clay	Victor Hănescu	6–7, 6–2, 6–1
October 8, 2001	Barcelona	Clay	Nicolas Coutelot	7–6, 6–1
May 6, 2002	Montego Bay	Hard	Felipe Parada	6–4, 6–4
May 20, 2002	Montego Bay	Hard	Nikos Rovas	6–4, 7–6
March 10, 2003	Faro	Hard	Guillermo García López	6–4, 6–1
October 6, 2003	Thessaloniki	Hard	Theodoros Angelinos	6–0, 6–4
October 13, 2003	Lamia	Hard	Ilia Kushev	2–6, 6–4, 6–1
November 24, 2003	Gran Canaria	Clay	Iván Navarro	6–1, 3–6, 6–2
October 25, 2004	Bangkok	Hard	Guillaume Legat	6–2, 6–4
April 18, 2005	Syros	Hard	Todor Enev	6–3, 6–1
February 6, 2006	Burnie	Hard	Alun Jones	6–4, 6–2
February 27, 2006	Blenheim	Hard	Scott Lipsky	6–0, 6–7, 6–2
March 6, 2006	Hamilton	Hard	Jamie Baker	6–4, 6–0
March 13, 2006	Lyneham	Clay	Damian Patriarca	6–1, 6–4
March 20, 2006	Bairnsdale	Clay	Adam Feeney	6–3, 6–2
March 27, 2006	Sale	Clay	Radim Zitko	6–2, 6–1
June 26, 2006	Constanţa	Clay	Adrian Ungur	6–4, 6–4
August 14, 2006	Cordenons	Clay	Mathieu Montcourt	6–3, 6–2
September 17, 2007	Banja Luka	Clay	Iván Navarro	7–6, 6–4
