Pick #	Round	Player	Position	College
12	Round 1	Alphonso Carreker	Defensive End	Florida State
72	Round 3	Donnie Humphrey	Defensive Tackle	Auburn
99	Round 4	John Dorsey	Linebacker	Connecticut
126	Round 5	Tom Flynn	Defensive Back	Pittsburgh
153	Round 6	Randy Wright	Quarterback	Wisconsin
180	Round 7	Daryll Jones	Defensive Back	Georgia
267	Round 10	Gary Hoffman	Tackle	Santa Clara
294	Round 11	Mark Cannon	Center	Texas-Arrlington
313	Round 12	Lenny Taylor	Wide Receiver	Tennessee
321	Round 12	Mark Emans	Linebacker	Bowling Green
