Date	Name of ship	Nationality	Tonnage	Fate
17 October 1939	City of Mandalay	UK	7,028	Sunk
21 December 1939	Rudolf	Norway	924	Sunk
6 June 1940	HMSCarinthia	UK	20,277	Sunk
9 June 1940	Margareta	UK	2,155	Sunk
11 June 1940	Athelprince	UK	8,782	Damaged
12 June 1940	Barbara Marie	UK	4,223	Sunk
12 June 1940	Willowbank	UK	5,041	Sunk
17 June 1940	Elpis	UK	3,651	Sunk
16 August 1940	Alcinuos	Netherlands	6,189	Damaged
16 August 1940	Leonidas M. Valmas	Greece	2,080	Total loss
27 August 1940	HMS Dunvegan Castle	UK	15,007	Sunk
31 August 1940	Ville de Hasselt	Belgium	7,461	Sunk
2 September 1940	Thornlea	UK	4,261	Sunk
4 September 1940	Lumineach	Ireland	1,074	Sunk
26 September 1940	Coast Wings	UK	862	Sunk
26 September 1940	Siljan	Sweden	3,058	Sunk
18 October 1940	Beatus	UK	4,885	Sunk
18 October 1940	Convallera	Sweden	1,996	Sunk
18 October 1940	Gunborg	Sweden	1,572	Sunk
18 October 1940	Ruperra	UK	4,548	Sunk
20 October 1940	Janus	Sweden	9,965	Sunk
29 March 1941	Liguria	Sweden	1,751	Sunk
31 March 1941	Castor	Sweden	8,714	Sunk
2 April 1941	British Reliance	UK	7,000	Sunk
3 April 1941	Alderpool	UK	4,313	Damaged
8 June 1941	Ensis	UK	6,207	Sunk
9 June 1941	Phidias	UK	5,623	Sunk
