Heat	Lane	Name	Nationality	Time
4	4	Rebecca Adlington	Great Britain	8:18.06
3	5	Camelia Potec	Romania	8:19.70
4	2	Lotte Friis	Denmark	8:21.74
5	5	Alessia Filippi	Italy	8:21.95
4	3	Kylie Palmer	Australia	8:22.81
5	1	Yelena Sokolova	Russia	8:23.07
3	6	Li Xuanxu	China	8:24.37
5	7	Cassandra Patten	Great Britain	8:25.91
4	1	Wendy Trott	South Africa	8:26.21
5	4	Kate Ziegler	United States	8:26.98
3	4	Katie Hoff	United States	8:27.78
5	6	Coralie Balmy	France	8:28.34
3	3	Flavia Rigamonti	Switzerland	8:28.67
3	8	Andreina Pinto	Venezuela	8:30.30
4	7	You Meihong	China	8:31.11
5	3	Erika Villaécija García	Spain	8:32.27
5	8	Melissa Gorman	Australia	8:32.34
2	4	Susana Escobar	Mexico	8:33.51
5	2	Sophie Huber	France	8:33.76
2	5	Kristel Köbrich	Chile	8:34.25
3	1	Maiko Fujino	Japan	8:35.60
2	1	Jördis Steinegger	Austria	8:36.40
3	7	Tanya Hunks	Canada	8:38.05
2	3	Gabriella Fagundez	Sweden	8:39.06
4	6	Jaana Ehmcke	Germany	8:39.51
2	6	Réka Nagy	Hungary	8:40.38
4	5	Ai Shibata	Japan	8:41.63
4	8	Eleftheria Evgenia Efstathiou	Greece	8:41.65
1	4	Au Hoishun Stephanie	Hong Kong	8:41.66
2	8	Lynette Lim	Singapore	8:45.56
2	2	Cecilia Biagioli	Argentina	8:50.18
1	5	Golda Marcus	El Salvador	8:51.21
1	3	Eva Lehtonen	Finland	8:53.50
2	7	Khoo Cai Lin	Malaysia	9:04.86
1	3	Karolina Szczepaniak	Poland	9:08.87
3	2	Federica Pellegrini	Italy	DNS
