Placing	Team	Players	Seeding	Playoffs W-L	Matches W-L
1	Czech Republic	Jana Novotná and Petr Korda	1	3-0	9-3
2	Germany	Anke Huber and Bernd Karbacher	Unseeded	3-1	8-4
3	Australia	Nicole Provis and Wally Masur	5	2-1	7-2
4	Austria	Judith Wiesner and Alex Antonitsch	Unseeded	2-1	5-4
5	Switzerland	Jakob Hlasek and Manuela Maleeva-Fragniere	7	1-1	4-2
6	Spain	Conchita Martínez and Emilio Sánchez	3	1-1	1-2
7	United States	Mary Joe Fernandez and Ivan Lendl	2	1-1	1-2
8	France	Nathalie Tauziat and Cédric Pioline	4	1-1	0-3
9	Sweden	Catarina Lindqvist and Mikael Pernfors	Unseeded	0-1	1-2
10	South Africa	Amanda Coetzer and Marcos Ondruska	8	0-1	1-2
11	Netherlands	Miriam Oremans and Jan Siemerink	Unseeded	0-1	0-3
12	Ukraine	Natalia Medvedeva and Andrei Medvedev	6	0-1	0-3
