Name	Years	Gender	Area	Authority	Decile	Roll
David Street School	1–6	Coed	Morrinsville	State	5	465
Elstow-Waihou Combined School	1–8	Coed	Te Aroha	State	7	104
Firth School	1–6	Coed	Matamata	State	3	224
Hinuera School	1–6	Coed	Hinuera	State	8	175
Kereone School	1–6	Coed	Kereone	State	8	11
Kiwitahi School	1–6	Coed	Kiwitahi	State	10	35
Manawaru School	1–8	Coed	Te Aroha	State	6	84
Matamata Christian School	1–8	Coed	Matamata	State integrated	6	65
Matamata College	9–15	Coed	Matamata	State	6	860
Matamata Intermediate	7–8	Coed	Matamata	State	6	364
Matamata Primary School	1–6	Coed	Matamata	State	6	415
Morrinsville College	9–15	Coed	Morrinsville	State	6	716
Morrinsville Intermediate	7–8	Coed	Morrinsville	State	5	311
Morrinsville School	1–6	Coed	Morrinsville	State	4	208
Motumaoho School	1–6	Coed	Motumaoho	State	7	38
Springdale School	1–8	Coed	Waitoa	State	9	40
St Joseph's Catholic School (Matamata)	1–8	Coed	Matamata	State integrated	3	32
St Joseph's Catholic School (Morrinsville)	1–8	Coed	Morrinsville	State integrated	8	169
St Joseph's Catholic School (Te Aroha)	1–8	Coed	Te Aroha	State integrated	5	99
Stanley Avenue School	1–8	Coed	Te Aroha	State	5	271
Tahuna School	1–6	Coed	Tahuna	State	6	65
Tatuanui School	1–6	Coed	Tatuanui	State	9	93
Tauhei Combined School	1–6	Coed	Tauhei	State	7	58
Te Aroha College	9–15	Coed	Te Aroha	State	4	342
Te Aroha Primary School	1–8	Coed	Te Aroha	State	3	153
Te Kura o Waharoa	1–6	Coed	Waharoa	State	1	27
Te Poi School	1–6	Coed	Te Poi	State	9	42
Te Wharekura o Te Rau Aroha	1–15	Coed	Matamata	State	1	98
Wairere School	1–6	Coed	Waharoa	State	8	45
Waitoa School	1–8	Coed	Waitoa	State	3	19
Walton School	1–6	Coed	Walton	State	9	103
