Week	Date	Opponent	Result	Attendance
1	September 26, 1949	at Chicago Cardinals	L 38-7	24,136
2	October 3, 1949	at Pittsburgh Steelers	W 27-14	30,000
3	October 9, 1949	New York Giants	L 45-35	30,073
4	October 16, 1949	New York Bulldogs	W 38-14	26,278
5	October 23, 1949	at Philadelphia Eagles	L 49-14	28,855
6	October 30, 1949	at New York Bulldogs	T 14-14	3,678
7	November 6, 1949	Pittsburgh Steelers	W 27-14	26,038
8	November 13, 1949	Philadelphia Eagles	L 44-21	31,107
9	November 20, 1949	Chicago Bears	L 31-21	30,418
10	November 27, 1949	at New York Giants	L 23-7	12,985
11	December 4, 1949	Green Bay Packers	W 30-0	23,200
12	December 11, 1949	at Los Angeles Rams	L 53-27	44,899
