Date	Opponent	Score	Loss	Save
April 4	Phillies	5 - 4	Youmans (0-1)	Williams (1)
April 5	Phillies	12 - 4	Maddux (0-1)	Maddux (1)
April 6	Phillies	8 - 3	Kilgus (0-1)	|| 6,364 ||1-2||
April 7	Pirates	6 - 5	Taylor (0-1)	Williams (2)
April 8	Pirates	5 - 3	Heaton (0-1)	Schiraldi (1)
April 9	Pirates	8 - 3	Walk (0-1)	|| 11,387 ||4-2||
April 11	Cardinals	5 - 4	DeLeón (1-1)	Williams (3)
April 12	Cardinals	3 - 2	Terry (0-1)	Williams (4)
April 14	@ Phillies	6 - 4	Ruffin (0-2)	Williams (5)
April 16	@ Phillies	5 - 3	Youmans (0-2)	Williams (6)
April 17	@ Expos	2 - 1	Maddux (0-2)	Burke (3)
April 18	@ Expos	11 - 2	Kilgus (1-2)	|| 11,913 ||8-4||
April 19	@ Expos	3 - 2	Sanderson (1-1)	Burke (4)
April 20	@ Mets	4 - 3	Williams (0-1)	McDowell (1)
April 21	@ Mets	8 - 4	Ojeda (0-3)	Wilson (1)
April 22	@ Mets	3 - 1	Maddux (0-3)	McDowell (2)
April 23	@ Mets	4 - 2	Schiraldi (1-1)	|| 40,268 ||9-8||
April 25	Dodgers	4 - 0	Sanderson (1-2)	|| 31,876 ||9-9||
April 26	Dodgers	3 - 1	Sutcliffe (4-1)	Howell (2)
April 27	Dodgers	1 - 0	Hershiser (3-2)	|| 12,013 ||10-10||
April 28	Padres	3 - 1	Rasmussen (1-4)	Williams (7)
April 29	Padres	5 - 4	Bielecki (1-1)	Davis (11)
April 30	Padres	7 - 3	Show (4-2)	|| 28,735 ||12-11||
