Poll source	Date(s) administered	Sample size	Margin of error	Joe Sestak (D)	Pat Toomey (R)	Other	Undecided
Research 2000 (report)	May 7, 2009	600	± 4.0%	37%	32%	––	––
Quinnipiac University (report)	May 20, 2009	1,191	± 2.8%	37%	35%	1%	23%
Rasmussen Reports (report)	June 16, 2009	800	± 4.5%	41%	35%	7%	18%
Quinnipiac University (report)	July 19, 2009	1,173	± 2.9%	35%	39%	1%	23%
Rasmussen Reports (report)	August 11, 2009	1,000	± 3.0%	35%	43%	5%	18%
Research 2000 (report)	August 12, 2009	600	± 5.0%	42%	41%	––	17%
Quinnipiac University (report)	September 28, 2009	1,100	± 3.0%	35%	38%	1%	25%
Rasmussen Reports (report)	October 13, 2009	1,000	± 3.0%	38%	37%	6%	19%
Rasmussen Reports (report)	December 8, 2009	1,200	± 3.0%	38%	44%	6%	13%
Quinnipiac University (report)	December 8, 2009	1,381	± 2.6%	35%	40%	1%	22%
Rasmussen Reports (report)	January 18, 2010	1,000	± 3.0%	35%	43%	6%	16%
Rasmussen Reports (report)	February 8, 2010	1,000	± 3.0%	35%	43%	7%	15%
Franklin & Marshall (Report)	February 15–21, 2010	954	± 2.9%	20%	38%	3%	39%
Quinnipiac University (report)	February 22–28, 2010	1,452	± 2.6%	36%	39%	1%	24%
Research 2000 (report)	March 8–10, 2010	600	± 4.0%	39%	42%	––	19%
Rasmussen Reports (report)	March 15, 2010	1,000	± 3.0%	37%	42%	7%	15%
Franklin & Marshall (report)	March 15–21, 2010	1,119	± 2.9%	19%	27%	5%	49%
Public Policy Polling (report)	March 29-April 1, 2010	934	± 3.2%	36%	42%	––	22%
Quinnipiac University (report)	March 30-April 5, 2010	1,412	± 2.6%	34%	42%	1%	22%
Rasmussen Reports (report)	April 14, 2010	1,000	± 3.0%	36%	47%	5%	12%
Rasmussen Reports (report)	May 6, 2010	1,000	± 3.0%	40%	42%	10%	9%
Research 2000 (report)	May 14, 2010	600	± 4.0%	40%	45%	––	15%
Rasmussen Reports (report)	May 19, 2010	500	± 4.5%	46%	42%	3%	9%
Research 2000 (report)	May 24–26, 2010	600	± 4.0%	43%	40%	––	––
Rasmussen Reports (report)	June 2, 2010	500	± 4.5%	38%	45%	5%	12%
Public Policy Polling (report)	June 19–21, 2010	609	± 4.0%	41%	41%	––	18%
Rasmussen Reports (report)	June 29, 2010	500	± 4.5%	39%	45%	6%	11%
Quinnipiac University (report)	July 6–11, 2010	1,367	± 2.7%	43%	43%	1%	12%
Rasmussen Reports (report)	July 14, 2010	750	± 4.0%	38%	45%	6%	12%
Rasmussen Reports (report)	July 28, 2010	750	± 4.0%	39%	45%	6%	10%
Public Policy Polling (report)	August 14–16, 2010	585	± 4.1%	36%	45%	––	20%
Rasmussen Reports (report)	August 16, 2010	750	± 4.0%	37%	46%	5%	12%
Rasmussen Reports (report)	August 30, 2010	750	± 4.0%	39%	45%	5%	11%
