School	Location	Control	Type	Enrollment	Founded
Air Force Institute of Technology	Wright-Patterson AFB, Ohio	Public	DRU	719	1919
California Institute of Technology	Pasadena, California	Private	RU/VH	2231	1891
California Polytechnic State University	San Luis Obispo, California	Public	Master's L	18762	1901
California State Polytechnic University, Pomona	Pomona, California	Public	Master's L	22273	1938
Clarkson University	Potsdam, NY	Private	RU/H	3187	1896
Colorado School of Mines	Golden, Colorado	Public	RU/H	4296	1874
Colorado Technical University	Colorado Springs, Colorado	Private	DRU	30020	1965
Florida Institute of Technology	Melbourne, Florida	Private	DRU	8985	1958
Georgia Institute of Technology	Atlanta, Georgia	Public	RU/VH	20487	1885
Illinois Institute of Technology	Chicago, Illinois	Private	RU/H	7787	1890
Massachusetts Institute of Technology	Cambridge, Massachusetts	Private	RU/VH	10894	1861
Michigan Technological University	Houghton, Michigan	Public	RU/H	6957	1885
Missouri University of Science and Technology	Rolla, Missouri	Public	RU/H	7521	1870
Montana Tech of the University of Montana	Butte, Montana	Public	Bac/Diverse	2694	1900
New Jersey Institute of Technology	Newark, New Jersey	Private	RU/H	9558	1881
New Mexico Institute of Mining and Technology	Socorro, New Mexico	Public	Master's M	1921	1889
Oregon Institute of Technology	Klamath Falls, Oregon	Public	Bac/Diverse	3927	1947
Polytechnic Institute of New York University	Brooklyn, New York	Private	RU/H	4514	1854
Rensselaer Polytechnic Institute	Troy, New York	Private	RU/VH	7521	1824
Rochester Institute of Technology	Henrietta, New York	Private	Master's L	17652	1829
Rose–Hulman Institute of Technology	Terre Haute, Indiana	Private	Spec/Engg	1970	1874
South Dakota School of Mines and Technology	Rapid City, South Dakota	Public	Spec/Engg	2354	1885
Stevens Institute of Technology	Hoboken, New Jersey	Private	RU/H	5260	1870
Texas Tech University	Lubbock, Texas	Public	RU/H	32327	1923
University of Wisconsin–Stout	Menomonie, Wisconsin	Public	Master's L	9339	1891
