Rd.	Race	Pole position	Fastest lap	Most laps led	Winning driver	Winning team
1	St. Petersburg	Esteban Guerrieri	Conor Daly	Josef Newgarden	Josef Newgarden	Sam Schmidt Motorsports
2	Barber	Víctor García	Víctor García	Víctor García	Víctor García	Team Moore Racing
3	Long Beach	Esteban Guerrieri	Conor Daly	Josef Newgarden	Conor Daly	Sam Schmidt Motorsports
4	Indianapolis	Bryan Clauson	Brandon Wagner	Josef Newgarden	Josef Newgarden	Sam Schmidt Motorsports
5	Milwaukee	Esteban Guerrieri	Josef Newgarden	Esteban Guerrieri	Esteban Guerrieri	Sam Schmidt Motorsports
6	Iowa	Esteban Guerrieri	Bryan Clauson	Josef Newgarden	Josef Newgarden	Sam Schmidt Motorsports
7	Toronto	Esteban Guerrieri	Esteban Guerrieri	Stefan Wilson	Stefan Wilson	Andretti Autosport
8A	Edmonton	Josef Newgarden	Josef Newgarden	Esteban Guerrieri	Esteban Guerrieri	Sam Schmidt Motorsports
8B	Edmonton	Josef Newgarden	Esteban Guerrieri	Josef Newgarden	Josef Newgarden	Sam Schmidt Motorsports
9	Trois-Rivières	Esteban Guerrieri	Esteban Guerrieri	Esteban Guerrieri	Esteban Guerrieri	Sam Schmidt Motorsports
10	Loudon	Josef Newgarden	Josef Newgarden	Josef Newgarden	Josef Newgarden	Sam Schmidt Motorsports
11	Baltimore	Conor Daly	Josef Newgarden	Conor Daly	Gustavo Yacamán	Team Moore Racing
12	Kentucky	Stefan Wilson	Duarte Ferreira	Stefan Wilson	Stefan Wilson	Andretti Autosport
