Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score
Runner-up	13 May 2001	Swansea , Wales	Clay	Maria Bobedova	Natalia Egorova Ekaterina Sysoeva	6–4 6–7 (5–7) 0–6
Runner-up	27 May 2001	Tel Aviv , Israel	Hard	Natasha Van Der Merwe	Irina Kornienko Maria Pavlidou	w/o
Runner-up	5 August 2001	Dublin , Ireland	Carpet	Bree Calderwood	Yvonne Doyle Karen Nugent	4–6 2–6
Runner-up	21 March 2004	Wellington, New Zealand	Grass	Nicole Kriz	Shelley Bryce Kristen Van Elden	1–6 6–3 3–6
Runner-up	21 March 2004	Yarrawonga , Australia	Grass	Nicole Kriz	Beti Sekulovski Cindy Watson	3–6 6–4 4–6
Winner	28 March 2004	Yarrawonga , Australia	Grass	Nicole Kriz	Mirielle Dittmann Kristen Van Elden	6–3 6–2
Runner-up	20 March 2005	Yarrawonga , Australia	Grass	Nicole Kriz	Lara Picone Julia Efremova	4–6 3–6
Winner	16 March 2007	Perth, Australia	Hard	Casey Dellacqua	Trudi Musgrave Christina Wheeler	6–4 4–6 6–2
Winner	23 March 2007	Kalgoorlie , Australia	Grass	Christina Wheeler	Vivien Silfany-Tony Lavinia Tananta	6–4 6–3
Runner-up	9 November 2007	Port Pirie , Australia	Hard	Daniella Dominikovic	Sarah Borwell Courtney Nagle	2–6 2–6
Winner	23 August 2008	Trecastagni , Italy	Hard	Pemra Özgen	Valeria Casillo Lilly Raffa	w/o
