#	Stadium	Capacity	Opened	City / Town	Home team
1	Stadion pod Goricom	12000	1945	Podgorica	FK Budućnost and Montenegro
2	Gradski stadion (Nikšić)	10800	n/a	Nikšić	FK Sutjeska
3	Gradski stadion (Berane)	9000	n/a	Berane	FK Berane
4	Gradski stadion (Pljevlja)	8000	n/a	Pljevlja	FK Rudar
5	Stadion Trešnjica	7000	n/a	Golubovci	FK Zeta
6	Stadion Topolica	6000	n/a	Bar	FK Mornar
7	Gradski stadion (Bijelo Polje)	5000	n/a	Bijelo Polje	FK Jedinstvo
8	Stadion Obilića Poljana	5000	n/a	Cetinje	FK Lovćen
9	Stadion pod Racinom	5000	n/a	Plav	FK Jezero
10	Stadion pod Vrmcem	5000	n/a	Kotor	FK Bokelj
11	Stadion Lugovi	4000	n/a	Budva	FK Mogren
12	Stadion u Parku	4000	n/a	Tivat	FK Arsenal
13	Stadion Zlatica	3000	n/a	Podgorica	FK Kom
14	Stadion Cvijetni Brijeg	1500	1997	Podgorica	FK Mladost
15	Stadion u Radanovićima	1500	n/a	Radanovići	FK Grbalj
16	Stadion na Koniku	1000	n/a	Podgorica	FK Ribnica and FK Grafičar
17	Stadion pod Malim Brdom	1000	n/a	Petrovac	OFK Petrovac
18	Stadion Prljanije	1000	1975	Andrijevica	FK Komovi
19	Stadion Tuško Polje	1000	n/a	Tuzi	FK Dečić
20	Stadion u Lugu	1000	n/a	Kolašin	FK Gorštak
21	Stadion u Murinu	1000	n/a	Murino	FK Polimlje
