Round	Venue	Discipline	Date	Winner	Second	Third
1	Düsseldorf	0.8km F Sprint	27 October 2007	Natalya Matveyeva ( RUS )	Marit Bjørgen ( NOR )	Anna Dahlberg ( SWE )
2	Beitostølen	10km F Individual	24 November 2007	Marit Bjørgen ( NOR )	Vibeke Skofterud ( NOR )	Charlotte Kalla ( SWE )
3	Kuusamo	1.2km C Sprint	1 December 2007	Petra Majdič ( SLO )	Astrid Uhrenholdt Jacobsen ( NOR )	Alena Procházková ( SVK )
4	Kuusamo	10km C Individual	2 December 2007	Marit Bjørgen ( NOR )	Astrid Uhrenholdt Jacobsen ( NOR )	Justyna Kowalczyk ( POL )
5	Davos	10km C Individual	8 December 2007	Virpi Kuitunen ( FIN )	Vibeke Skofterud ( NOR )	Kristin Størmer Steira ( NOR )
6	Rybinsk	15km F Mass Start	15 December 2007	Astrid Uhrenholdt Jacobsen ( NOR )	Natalya Korostelyova ( RUS )	Riitta Liisa Roponen ( FIN )
7	Rybinsk	1.3km F Sprint	16 December 2007	Kikkan Randall ( USA )	Astrid Uhrenholdt Jacobsen ( NOR )	Natalya Korostelyova ( RUS )
Tour de Ski	Tour de Ski	Tour de Ski	Tour de Ski	Tour de Ski	Tour de Ski	Tour de Ski
8	Nové Město	3.3km C Prologue	28 December 2007	Virpi Kuitunen ( FIN )	Aino Kaisa Saarinen ( FIN )	Justyna Kowalczyk ( POL )
9	Nové Město	10km F Handicap Start	29 December 2007	Charlotte Kalla ( SWE )	Sabina Valbusa ( ITA )	Marit Bjørgen ( NOR )
10	Prague	1km F Sprint	30 December 2007	Arianna Follis ( ITA )	Pirjo Muranen ( FIN )	Marit Bjørgen ( NOR )
11	Nové Město	10km F Handicap Start	1 January 2008	Charlotte Kalla ( SWE )	Kristin Størmer Steira ( NOR )	Claudia Künzel-Nystad ( GER )
12	Nové Město	10km C Individual	2 January 2008	Aino Kaisa Saarinen ( FIN )	Virpi Kuitunen ( FIN )	Therese Johaug ( NOR )
13	Asiago	1.2km F Sprint	4 January 2008	Charlotte Kalla ( SWE )	Natalia Korosteleva ( RUS )	Justyna Kowalczyk ( POL )
14	Val di Fiemme	10km C Mass Start	5 January 2008	Virpi Kuitunen ( FIN )	Charlotte Kalla ( SWE )	Claudia Künzel-Nystad ( GER )
15	Val di Fiemme	9km F Handicap Start	6 January 2008	Valentina Shevchenko ( UKR )	Kristin Størmer Steira ( NOR )	Claudia Künzel-Nystad ( GER )
Tour de Ski - Final Standings	Tour de Ski - Final Standings	Tour de Ski - Final Standings	Tour de Ski - Final Standings	Charlotte Kalla ( SWE )	Virpi Kuitunen ( FIN )	Arianna Follis ( ITA )
End of Tour de Ski	End of Tour de Ski	End of Tour de Ski	End of Tour de Ski	End of Tour de Ski	End of Tour de Ski	End of Tour de Ski
16	Canmore	10+10km M Pursuit	22 January 2008	Justyna Kowalczyk ( POL )	Yevgeniya Medvedeva ( RUS )	Olga Rocheva ( RUS )
17	Canmore	1.2km C Sprint	23 January 2008	Petra Majdič ( SLO )	Astrid Uhrenholdt Jacobsen ( NOR )	Justyna Kowalczyk ( POL )
18	Canmore	10km F Individual	25 January 2008	Valentina Shevchenko ( UKR )	Yevgeniya Medvedeva ( RUS )	Justyna Kowalczyk ( POL )
19	Canmore	1.2km F Sprint	26 January 2008	Chandra Crawford ( CAN )	Pirjo Muranen ( FIN )	Magda Genuin ( ITA )
20	Otepää	10km C Individual	9 February 2008	Virpi Kuitunen ( FIN )	Aino Kaisa Saarinen ( FIN )	Therese Johaug ( NOR )
21	Otepää	1.2km C Sprint	10 February 2008	Petra Majdič ( SLO )	Astrid Uhrenholdt Jacobsen ( NOR )	Virpi Kuitunen ( FIN )
22	Liberec	7.6km F Individual	16 February 2008	Astrid Uhrenholdt Jacobsen ( NOR )	Justyna Kowalczyk ( POL )	Charlotte Kalla ( SWE )
23	Falun	10+10km M Pursuit	23 February 2008	Astrid Uhrenholdt Jacobsen ( NOR )	Marit Bjørgen ( NOR )	Aino Kaisa Saarinen ( FIN )
24	Stockholm	1km C Sprint	27 February 2008	Virpi Kuitunen ( FIN )	Petra Majdič ( SLO )	Madoka Natsumi ( JPN )
25	Lahti	1.2km F Sprint	1 March 2008	Chandra Crawford ( CAN )	Natalya Matveyeva ( RUS )	Evi Sachenbacher-Stehle ( GER )
26	Lahti	10km C Individual	2 March 2008	Virpi Kuitunen ( FIN )	Valentina Shevchenko ( UKR )	Katrin Zeller ( GER )
27	Drammen	1km C Sprint	5 March 2008	Virpi Kuitunen ( FIN )	Petra Majdič ( SLO )	Astrid Uhrenholdt Jacobsen ( NOR )
28	Oslo	30km F Individual	8 March 2008	Valentina Shevchenko ( UKR )	Charlotte Kalla ( SWE )	Claudia Künzel-Nystad ( GER )
World Cup Final	World Cup Final	World Cup Final	World Cup Final	World Cup Final	World Cup Final	World Cup Final
29	Bormio	2.5km F Prologue	14 March 2008	Claudia Künzel-Nystad ( GER )	Astrid Uhrenholdt Jacobsen ( NOR )	Riitta Liisa Roponen ( FIN )
30	Bormio	10km C Mass Start	15 March 2008	Virpi Kuitunen ( FIN )	Justyna Kowalczyk ( POL )	Claudia Künzel-Nystad ( GER )
30	Bormio	10km F Handicap Start	16 March 2008	Virpi Kuitunen ( FIN )	Justyna Kowalczyk ( POL )	Claudia Künzel-Nystad ( GER )
