Outcome	Year	Championship	Surface	Partner	Opponents	Score
Runner-up	1984	Australian Open	Grass	Claudia Kohde-Kilsch	Martina Navratilova Pam Shriver	6–3, 6–4
Runner-up	1985	French Open	Clay	Claudia Kohde-Kilsch	Martina Navratilova Pam Shriver	4–6, 6–2, 6–2
Winner	1985	US Open	Hard	Claudia Kohde-Kilsch	Martina Navratilova Pam Shriver	6–7(5), 6–2, 6–3
Runner-up	1985	Australian Open	Grass	Claudia Kohde-Kilsch	Martina Navratilova Pam Shriver	6–3, 6–4
Winner	1987	Wimbledon	Grass	Claudia Kohde-Kilsch	Betsy Nagelsen Elizabeth Smylie	7–5, 7–5
Runner-up	1988	French Open	Clay	Claudia Kohde-Kilsch	Martina Navratilova Pam Shriver	6–2, 7–5
Winner	1989	Wimbledon	Grass	Jana Novotná	Larisa Savchenko Natasha Zvereva	6–1, 6–2
Winner	1990	Australian Open	Hard	Jana Novotná	Patty Fendick Mary Joe Fernández	7–6(5), 7–6(6)
Winner	1990	French Open	Clay	Jana Novotná	Larisa Neiland Natasha Zvereva	6–4, 7–5
Winner	1990	Wimbledon	Grass	Jana Novotná	Kathy Jordan Elizabeth Smylie	6–3, 6–4
Runner-up	1990	US Open	Hard	Jana Novotná	Gigi Fernández Martina Navratilova	6–2, 6–4
Winner	1992	Australian Open	Hard	Arantxa Sánchez Vicario	Mary Joe Fernandez Zina Garrison	6–4, 7–6(3)
Winner	1993	US Open	Hard	Arantxa Sánchez Vicario	Amanda Coetzer Inés Gorrochategui	6–4, 6–2
