Book title	Issues	Writer	Artist(s)	Publication dates
The Black Lamb	6	Timothy Truman	Timothy Truman	November 1996 – April 1997
Bloody Mary	4	Garth Ennis	Carlos Ezquerra	October 1996 – January 1997
Bloody Mary : Lady Liberty	4	Garth Ennis	Carlos Ezquerra	September 1997 – December 1997
BrainBanx	6	Elaine Lee	Jason Temujin Minor	March 1997 – August 1997
Cyberella	12	Howard Chaykin	Don Cameron	September 1996 – August 1997
Dead Corps	4	Christopher Hinz	Steve Pugh	September 1998 – December 1998
The Dome: Ground Zero	1	Dave Gibbons	Angus McKie	1998
Gemini Blood	9	Christopher Hinz	Tommy Lee Edwards	September 1996 – May 1997
Michael Moorcock's Multiverse	12	Michael Moorcock	Walter Simonson , Mark Reeve, John Ridgway	November 1997 – October 1998
Sheva's War	5	Christopher Moeller	Christopher Moeller	October 1998 – February 1999
Star Crossed	3	Matt Howarth	Matt Howarth	Jun 1997 - Aug 1997
Time Breakers	5	Rachel Pollack	Chris Weston	January 1997 – May 1997
Transmetropolitan	60	Warren Ellis	Darick Robertson	September 1997 – November 2002
