Name	Years	Gender	Area	Authority	Decile	Roll
Colville School	1–8	Coed	Colville	State	4	32
Coroglen School	1–8	Coed	Coroglen	State	6	37
Coromandel Area School	1–15	Coed	Coromandel	State	3	201
Hikuai School	1–8	Coed	Hikuai	State	9	82
Hikutaia School	1–8	Coed	Hikutaia	State	4	76
Manaia School	1–8	Coed	Manaia	State	2	96
Matatoki School	1–8	Coed	Matatoki	State	9	41
Mercury Bay Area School	1–15	Coed	Whitianga	State	6	835
Moanataiari School	1–8	Coed	Thames	State	5	151
Opoutere School	1–8	Coed	Opoutere	State	4	137
Parawai School	1–8	Coed	Thames	State	6	283
Puriri School	1–8	Coed	Puriri	State	7	25
St Francis School	1–8	Coed	Thames	State integrated	7	104
Tairua School	1–8	Coed	Tairua	State	7	106
Tapu School	1–8	Coed	Tapu	State	4	15
Te Puru School	1–8	Coed	Te Puru	State	6	184
Te Rerenga School	1–8	Coed	Te Rerenga	State	5	58
Thames High School	9–15	Coed	Thames	State	6	576
Thames South School	1–8	Coed	Thames	State	3	202
TKKM o Harataunga	1–8	Coed	Kennedy Bay	State	2	13
Whangamata Area School	1–15	Coed	Whangamata	State	4	363
Whenuakite School	1–8	Coed	Whenuakite	State	8	135
