Draft	Round	Pick	Player	Nationality
1968	1	6	Gary Edwards	Canada
1968	2	16	Curt Bennett	Canada
1969	2	19	Mike Lowe	Canada
1969	3	30	Bernie Gagnon	Canada
1969	4	42	Vic Teal	Canada
1969	5	54	Brian Glenwright	Canada
1969	6	66	Tommi Salmelainen	Finland
1969	6	70	Dale Yutsyk	Canada
1969	7	73	Bob Collyard	USA
1969	7	77	Dave Pulkkinen	Canada
1969	8	80	Pat Lange	Canada
1969	9	82	John Converse	Canada
1970	2	23	Murray Keogan	Canada
1970	3	37	Ron Climie	Canada
1970	4	51	Gord Brooks	Canada
1970	5	65	Mike Stevens	Canada
1970	6	79	Claude Moreau	Canada
1970	7	85	Jack Taggart	Canada
1970	7	92	Terry Marshall	Canada
1970	8	104	Dave Tataryn	Canada
1970	9	108	Bob Winograd	Canada
1970	10	111	Mike Lampman	USA
1970	11	112	Jeff Rotsch	USA
1970	12	113	Al Calver	Canada
1970	13	114	Gerry MacDonald	Canada
1970	14	115	Gerald Haines	Canada
1973	1	5	John Davidson	Canada
1973	2	24	George Pesut	Canada
1973	3	48	Bob Gassoff	Canada
1973	5	72	Bill Laing	Canada
1973	6	88	Randy Smith	Canada
1973	7	104	John Wensink	Canada
1973	8	120	Jean Tetreault	Canada
1976	1	7	Bernie Federko †	Canada
1976	2	20	Brian Sutter	Canada
1976	2	25	John Smrke	Canada
1976	3	43	Jim Kirkpatrick	Canada
1976	4	56	Mike Liut	Canada
1976	4	61	Paul Skidmore	USA
1976	6	97	Nels Goddard	Canada
1976	7	113	Mike Eaves	USA
1976	8	121	Jacques Soguel	Switzerland
1976	9	124	Dave Dornseif	USA
1976	10	126	Brad Wilson	USA
1976	11	128	Dan Hoene	USA
1976	12	130	Goran Lindblom	Sweden
1976	13	132	Jim Bales	Canada
1976	14	134	Anders Hakansson	Sweden
1976	15	135	Juhani Walleniush	Finland
1978	1	3	Wayne Babych	Canada
1978	3	39	Steve Harrison	Canada
1978	5	72	Kevin Willison	Canada
1978	6	89	Jim Nill	Canada
1978	7	106	Steve Stockman	Canada
1978	7	109	Paul MacLean	Canada
1978	8	123	Denis Houle	Canada
1978	9	140	Tony Meagher	Canada
1978	9	143	Rick Simpson	Canada
1978	10	157	Jim Lockhurst	Canada
1978	10	160	Bob Froese	Canada
1978	10	170	Dan Lerg	USA
1978	11	173	Risto Siltanen	Finland
1978	11	175	Dan Hermansson	Sweden
1978	11	181	Jean-Francois Boutin	Canada
1978	11	185	John Sullivan	USA
1978	12	188	Serge Menard	Canada
1978	12	191	Don Boyd	Canada
1978	12	197	Paul Stasiuk	Canada
1978	12	200	Gerd Truntschka	West Germany
1978	13	203	Viktor Shkurdyuk	USSR
1978	13	205	Carl Bloomberg	USA
1978	13	207	Terry Kitching	Canada
1978	13	209	Brian O'Connor	USA
1978	13	210	Brian Crombeen	Canada
1978	13	211	Mike Pidgeon	Canada
1978	14	214	John Cochrane	USA
1978	14	216	Joe Casey	USA
1978	14	218	Jim Farrell	USA
1978	14	220	Frank Johnson	USA
1978	14	221	Blair Wheeler	Canada
