Week	Date	Opponent	Result	Game site	Attendance
1	1991-09-01	Tampa Bay Buccaneers	W 16–13	The Meadowlands	61,204
2	1991-09-08	at Seattle Seahawks	L 20–13	Kingdome	56,770
3	1991-09-15	Buffalo Bills	L 23–20	The Meadowlands	65,309
4	1991-09-23	at Chicago Bears	L 19–13 (OT)	Soldier Field	65,255
5	1991-09-29	Miami Dolphins	W 41–23	The Meadowlands	71,170
6	1991-10-06	at Cleveland Browns	W 17–14	Cleveland Stadium	71,042
7	1991-10-13	Houston Oilers	L 23–20	The Meadowlands	70,758
8	1991-10-20	at Indianapolis Colts	W 17–6	Hoosier Dome	53,025
9	Bye	Bye	Bye	Bye	Bye
10	1991-11-03	Green Bay Packers	W 19–16 (OT)	The Meadowlands	67,435
11	1991-11-10	Indianapolis Colts	L 28–27	The Meadowlands	44,792
12	1991-11-17	at New England Patriots	W 28–21	Foxboro Stadium	30,743
13	1991-11-24	San Diego Chargers	W 24–3	The Meadowlands	59,025
14	1991-12-01	at Buffalo Bills	L 24–13	Rich Stadium	80,243
15	1991-12-08	at Detroit Lions	L 34–20	Pontiac Silverdome	69,304
16	1991-12-15	New England Patriots	L 6–3	The Meadowlands	55,689
17	1991-12-22	at Miami Dolphins	W 23–20 (OT)	Joe Robbie Stadium	69,636
