Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	13-4	Lee Hasdell	Submission (rear naked choke)	Cage Rage 22	1	1:39	London , England
Loss	12-4	Tsuyoshi Kohsaka	TKO (punches)	PRIDE 31	1	1:20	Saitama , Japan
Win	12-3	Hirotaka Yokoi	TKO (knees)	PRIDE 29	1	9:08	Saitama , Japan
Win	11-3	Mike Bencic	KO (punch)	PRIDE Bushido 2	1	0:11	Yokohama, Japan
Loss	10-3	Yuki Kondo	TKO (doctor stoppage)	PRIDE Shockwave 2003	1	3:27	Saitama , Japan
Win	10-2	Andrei Kopylov	TKO (cut)	PRIDE 22	1	6:02	Japan
Win	9-2	Wataru Sakata	Decision (unanimous)	UFO: Legend	3	5:00	Tokyo, Japan
Loss	8-2	Murilo Rua	Decision (unanimous)	PRIDE 20	3	5:00	Yokohama , Japan
Win	8-1	Igor Vovchanchyn	Submission (arm-triangle choke)	PRIDE 17	1	2:52	Tokyo, Japan
Win	7-1	Hiromitsu Kanehara	Decision (majority)	C2K Colosseum 2000	3	5:00	Japan
Win	6-1	Chris Haseman	Submission(punches)	Caged Combat 1 - Australian Ultimate Fighting	1	1:12	Sydney, Australia
Win	5-1	Neil Bodycote	Submission(punches)	Caged Combat 1 - Australian Ultimate Fighting	1	0:47	Sydney, Australia
Win	4-1	Vernon White	Decision (unanimous)	Caged Combat 1 - Australian Ultimate Fighting	3	5:00	Sydney, Australia
Win	3-1	Andrey Dudko	Submission(kimura)	MARS - Martial Arts Reality Superfighting	1	4:15	Alabama , United States
Loss	2-1	Igor Zinoviev	TKO(doctor stoppage)	Extreme Fighting 1	1	11:39	North Carolina , United States
Win	2-0	Rudyard Moncayo	Submission(punches)	Extreme Fighting 1	1	2:42	North Carolina , United States
Win	1-0	Jose Balduino	Submission (strikes)	Duelo de Titas 1	N/A	N/A	Brazil
