Place	Player	Country	Score	To par	Money ( £ )
1	Nick Faldo	England	67-65-67-71=270	–18	85,000
T2	Mark McNulty	Zimbabwe	74-68-68-65=275	–13	60,000
T2	Payne Stewart	United States	68-68-68-71=275	–13	60,000
T4	Jodie Mudd	United States	72-66-72-66=276	–12	40,000
T4	Ian Woosnam	Wales	68-69-70-69=276	–12	40,000
T6	Ian Baker-Finch	Australia	68-72-64-73=277	–11	28,500
T6	Greg Norman	Australia	66-66-76-69=277	–11	28,500
T8	David Graham	Australia	72-71-70-66=279	–9	22,000
T8	Donnie Hammond	United States	70-71-68-70=279	–9	22,000
T8	Steve Pate	United States	70-68-72-69=279	–9	22,000
T8	Corey Pavin	United States	71-69-68-71=279	–9	22,000
