Tournament	Surface	Week	Winner	Finalist	Semifinalists
Indian Wells	Hard	March 13	Àlex Corretja 6–4, 6–4, 6–3	Thomas Enqvist (10)	Nicolás Lapentti (8) Mark Philippoussis (12)
Key Biscane	Hard	March 20	Pete Sampras (2) 6–1, 6–7(2), 7–6(5), 7–6(8)	Gustavo Kuerten (6)	Andre Agassi (1) Lleyton Hewitt (14)
Monte Carlo	Clay	April 17	Cédric Pioline (8) 6–4, 7–6(3), 7–6(6)	Dominik Hrbatý	Gastón Gaudio Karim Alami
Rome	Clay	May 8	Magnus Norman (3) 6–3, 4–6, 6–4, 6–4	Gustavo Kuerten (4)	Àlex Corretja (10) Lleyton Hewitt (9)
Hamburg	Clay	May 15	Gustavo Kuerten (5) 6–4, 5–7, 6–4, 5–7, 7–6(3)	Marat Safin (12)	Andrei Pavel (Q) Marcelo Ríos
Toronto	Hard	July 31	Marat Safin (8) 6–2, 6–3	Harel Levy (Q)	Jiří Novák Wayne Ferreira
Cincinnati	Hard	August 7	Thomas Enqvist (7) 7–6(5), 6–4	Tim Henman (15)	Arnaud Clément Gustavo Kuerten (4)
Stuttgart	Carpet (i)	October 30	Wayne Ferreira 7–6(6), 3–6, 6–7(5), 7–6(2), 6–2	Lleyton Hewitt (8)	Yevgeny Kafelnikov (6) Sébastien Grosjean
Paris	Carpet (i)	November 13	Marat Safin (2) 3–6, 7–6(7), 6–4, 3–6, 7–6(8)	Mark Philippoussis (13)	Gustavo Kuerten (1) Juan Carlos Ferrero (12)
Lisbon ( TMC )	Hard (i)	November 23	Gustavo Kuerten 6–4, 6–4, 6–4	Andre Agassi	Marat Safin Pete Sampras
