Application	Latest release date and version	Developed by	Platforms	Mainly Used For	License
AC3D	2010-09-10 v 6.7	Inivis	Linux , Mac OS X , Microsoft Windows	Modeling	Proprietary
AOI	2013-09-23 v 3.0	Peter Eastman	Java Virtual Machine supported platforms	Animation, Lighting, Modelling, Rendering	GPL
Carrara	2010-04-21 8.0	DAZ 3D	Microsoft Windows , Mac OS X	Animation, Modeling	Proprietary
Cheetah 3D	2010-02-23 v 5.3	Dr. Martin Wengenmayer	Mac OS X	Animation, Modeling	Proprietary
CityEngine	2010-06-23 v 2010	Procedural	Mac OS X , Microsoft Windows , Linux	Procedural Modeling of 3D Cities	Proprietary
Cobalt	2009-12-11 v8 SP2r3	Ashlar-Vellum	Mac OS X , Microsoft Windows	Modeling, Computer Aided Design, Animation	Proprietary
Houdini	? v 10.0	Side Effects Software	Microsoft Windows , Mac OS X , Linux	Animation, Lighting, Modeling, Visual 3D Effects	Proprietary
MakeHuman	2012-11-10 v 1.0 alpha 7	makehuman.org	Microsoft Windows , Mac OS X , Linux	Modelling of human figures	AGPL 3+
MASSIVE	? v 3.5	Massive Software	Microsoft Windows , Linux	Artificial Intelligence in Models	Proprietary
modo	2013-03-25 v 701	Luxology	Mac OS X , Microsoft Windows	Modeling, Animation, Rendering	Proprietary
Mudbox	2011-04 v 2012	Autodesk	Mac OS X , Microsoft Windows , Linux	Lighting, Sculpting (the deformation of the model)	Proprietary
POV-Ray	2004-10-03 v 3.6	The POV-Team	Mac OS X , Microsoft Windows , Linux	Lighting, Visual 3D effects	non- Free (POV-Ray license)
Pro/Engineer	2009 Wildfire 5.0	Parametric Technology Corporation	Microsoft Windows , HP-UX , Unix	Modeling	Proprietary
Rhinoceros 3D	v 5.0	McNeel	Microsoft Windows , Mac OS X in beta	Modeling, Computer Aided Design	Proprietary
Sculptris	2011-07-22 v Alpha 6	Pixologic	Mac OS X , Microsoft Windows	Sculpting, Texturing	Proprietary
Shade	2011-03-08 v 12.02	Mirye Software	Mac OS X , Microsoft Windows	Modeling, Rendering, Animation	Proprietary
Silo	2008-08-13 v 2.1	Nevercenter	Mac OS X , Microsoft Windows	Modeling	Proprietary
SketchUp / SketchUp Pro	2010-09 v 8.0	Google	Mac OS X , Microsoft Windows	Computer Aided Design	Proprietary
Solid Edge	2009-06 ST2	Siemens PLM Software	Microsoft Windows	Modeling	Proprietary
solidThinking	2009-09 8.0	solidThinking	Mac OS X , Microsoft Windows	Modeling	Proprietary
SolidWorks	? 2012 SP0	Dassault systems	Microsoft Windows	Computer Aided Design	Proprietary
SpaceClaim	? 2011+	SpaceClaim Corporation	Microsoft Windows	Computer Aided Design	Proprietary
Swift 3D	2009-06-03 v6.0	Electric Rain	Mac OS X , Microsoft Windows	Modeling, Animation	Proprietary
trueSpace	2009-05-25 v 7.61	Caligari Corporation	Microsoft Windows	Animation, Modeling	Proprietary
E-on Vue	2011-11-24 v 10.0	E-on Software	Mac OS X , Microsoft Windows	Animation, Landscape Modeling, Lighting	Proprietary
