-	Week 1	Week 2	Week 3	Week 4	Week 5
January	Chelse Medley	Erica Jackson	Cassie Keller*	Brandi Corbin	[Month Ended]
February	Krystle Lina	Carlie Christine*	Kelsi Nicole	Danielle Fornarelli	[Month Ended]
March	Ryan Lovette	Brittany Retkofsky	Jamie Graham*	Alli Grove	Marie Morgan
April	Netty Maj*	Ashleigh Evelyn	Candice Hunnicutt	Brandy Brenner	[Month Ended]
May	Christina Kraft	Hillary Fisher*	Felicia Gomez	Markesa Yeager	[Month Ended]
June	Kaki West	Heather Jo Hughes	Anna Lynn	Jessa Lynn*	Jackie O'Neil
July	Robyn Marie Wilson	Tess Taylor Arlington **	Brooke Erickson	Koa-Marie Turner	[Month Ended]
August	Anne-Krystel Goyer	Summer Lena	Victoria Ivanova*	Katie Cannon	Mia Alstadt
September	Erin Leigh	Beth Williams*	Silke Hornung	Kristin Dishner	[Month Ended]
October	Kristen Lynn Gorano	Addison Miller	Jennie Reid*	Mariela Henderson	[Month Ended]
November	Daniella Mugnolo	Melissa Dawn Taylor	Kat Kohls	Anastasia Christen	Misty Rhodes*
