Year	Division	League	Reg. Season	Playoffs	Open Cup
1993	N/A	USISL	7th, Atlantic	Did not qualify	Did not enter
1993/94	N/A	USISL Indoor	1st, Northern	3rd Place	N/A
1994	3	USISL	8th, Atlantic	Did not qualify	Did not enter
1994/95	N/A	USISL Indoor	1st, North/South	Semifinals	N/A
1995	3	USISL Pro League	6th, Coastal	Did not qualify	Did not qualify
1995/96	N/A	USISL Indoor	1st, Northeast	Champion	N/A
1996	3	USISL Pro League	7th, Northeast	Did not qualify	Did not qualify
1996/97	N/A	USISL I-League	1st, East	Champion	N/A
1997	3	USISL D-3 Pro League	3rd, Mid-Atlantic	Quarterfinals	Did not qualify
1997/98	N/A	USISL I-League	1st	Champion	N/A
