Pick	Player	Position	Nationality	NHL team	College/junior/club team
209	Vitali Yeremeyev	Goaltender	Kazakhstan	N.Y. Rangers	HC Kamenogorsk (Russia)
210	Frederic Cassivi	Goaltender	Canada	Ottawa Senators	St. Hyacinthe Lasers (QMJHL)
211	Danny Dupont	Defense	Canada	Ottawa Senators	Laval Titan (QMJHL)
212	Henrik Smangs	Goaltender	Sweden	Winnipeg Jets	Leksands IF (Sweden)
213	Ashlin Halfnight	Defence	Canada	Hartford Whalers	Harvard University (NCAA)
214	Jeremy Jablonski	Goaltender	Canada	Edmonton Oilers	Victoria Cougars (WHL)
215	Jan Nemecek	Defence	Czech Republic	Los Angeles Kings	České Budějovice HC (Czech Republic)
216	Yuri Smirnov	Centre	Russia	Tampa Bay Lightning	Moscow Spartak (Russia)
217	Tim Thomas	Goaltender	United States	Quebec Nordiques	University of Vermont (NCAA)
218	Johan Hedberg	Goaltender	Sweden	Philadelphia Flyers	Leksands IF (Sweden)
219	Evgeni Nabokov	Goaltender	Kazakhstan	San Jose Sharks	HC Kamenogorsk (Russia)
220	Gord Walsh	Left Wing	Canada	NY Islanders	Kingston Frontenacs (OHL)
221	Bill Muckalt	Right Wing	Canada	Vancouver Canucks	Kelowna Spartans (BCJHL)
222	Lubomir Jandera	Defence	Czech Republic	Chicago Blackhawks	HC Litvínov (Czech)
223	John Tuohy	Defence	United States	Washington Capitals	Kent High School (HS-Connecticut)
224	Marc Stephan	Centre	Canada	St. Louis Blues	Tri-Cities Americans (WHL)
225	Craig Millar	Defence	Canada	Buffalo Sabres	Swift Current Broncos (WHL)
226	Tomas Vokoun	Goaltender	Czech Republic	Montreal Canadiens	Poldi Kladno (Czech Republic)
227	Jorgen Jonsson	Centre	Sweden	Calgary Flames	Rögle BK (Sweden)
228	Marty Flichel	Right Wing	Canada	Dallas Stars	Tacoma Rockets (WHL)
229	John Grahame	Goaltender	United States	Boston Bruins	Lake Superior State University (NCAA)
230	Matt Ball	Right Wing	Canada	Hartford Whalers	Detroit Jr. Red Wings (OHL)
231	Jeff Mikesch	Centre	United States	Detroit Red Wings	Michigan Technological University (NCAA)
232	Jason Godbout	Defence	United States	Pittsburgh Penguins	Hill-Murray High School (HS-Minnesota)
233	Steve Sullivan	Centre/Winger	Canada	New Jersey Devils	Sault Ste. Marie Greyhounds (OHL)
234	Eric Boulton	Left Wing	Canada	New York Rangers	Oshawa Generals (OHL)
Reference:	Reference:	Reference:	Reference:	Reference:	Reference:
