Week	Date	Opponent	Result	Attendance
1	September 9, 2001	Seattle Seahawks	L 9–6	72,318
2	September 23, 2001	Detroit Lions	W 24–14	73,168
3	September 30, 2001	at Jacksonville Jaguars	W 23–14	57,875
4	October 7, 2001	San Diego Chargers	W 20–16	73,018
5	October 14, 2001	at Cincinnati Bengals	L 24–14	64,217
6	October 21, 2001	Baltimore Ravens	W 24–14	72,818
7	Bye	Bye	Bye	Bye
8	November 4, 2001	at Chicago Bears	L 27–21	66,944
9	November 11, 2001	Pittsburgh Steelers	L 15–12	73,218
10	November 18, 2001	at Baltimore Ravens	W 27–17	69,353
11	November 25, 2001	Cincinnati Bengals	W 18–0	72,918
12	December 2, 2001	Tennessee Titans	L 31–15	72,818
13	December 9, 2001	at New England Patriots	L 27–16	60,292
14	December 16, 2001	Jacksonville Jaguars	L 15–10	72,818
15	December 23, 2001	at Green Bay Packers	L 30–7	59,824
16	December 30, 2001	at Tennessee Titans	W 41–38	68,798
17	January 6, 2002	at Pittsburgh Steelers	L 28–7	59,189
