Player	No.(s)	Height in Ft.	Position	School/Club Team/Country
Davis, Ben Ben Davis	4	6-9	Forward	Arizona
Davis, Emanual Emanual Davis	15	6-4	Guard	Delaware State
Davis, Jim Jim Davis	30	6-9	Center	Colorado
Davis, Josh Josh Davis	00	6-8	Forward	Wyoming
Dickerson, Michael Michael Dickerson	3	6-5	Guard	Arizona
Dinkins, Byron Byron Dinkins	9	6-1	Guard	North Carolina-Charlotte
Dorsey, Jacky Jacky Dorsey	44	6-7	Forward	Georgia
Dorsey, Joey Joey Dorsey	15	6-7	Forward / Center	Memphis
Drew, Bryce Bryce Drew	11	6-3	Guard	Valparaiso
Drexler, Clyde Clyde Drexler	22*	6-7	Guard	Houston
Dunleavy, Mike Mike Dunleavy	10, 31	6-3	Guard	South Carolina
