Name	Design	Manufacturer	Acquired	Disposed
Adler	1A1	Stephenson 1835	1835	sold 1857
Pfeil	1A1	Stephenson 1836	1836	sold
Nürnberg-Fürth	1A1	Henschel 1852/14	1852	scrapped 1889
Phoenix	1A1	Maffei 1853/127	1853	scrapped 1869
Adler II	1A1	Maffei 1857/279	1857	scrapped 1889
Johannes Scharrer	1A1	Henschel 1865/108	1865	scrapped 1887
Faust	1A1	Maffei 1845/6	1872	scrapped 1881
Henlein	1A1	Maffei 1845/8	1873	scrapped 1880
Wallenstein	1A1	Kessler 1845/30	1875	scrapped 1885
Bavaria	Bn2t	Maffei 1879/1204	1879	sold 1923
Pegnitz	Bn2t	Maffei 1880/1224	1880	sold 1923
Franconia	Bn2t	Maffei 1881/1248	1881	sold 1923
Daniel Ley	1Bn2t	Maffei 1886/1414	1886	sold 1923
Johannes Scharrer II	Bn2t	Maffei 1887/1453	1887	sold 1923
Nürnberg-Fürth II	Bn2t	Maffei 1889/1538	1889	sold 1923
Germania	1Bn2t	Maffei 1906/2511	1906	sold 1923
Ludwig	1Bn2t	Maffei 1906/2549	1906	sold 1923
