Date	Tournament	Surface	Opponent in the final	Score
4 February 2002	Nottingham , Great Britain F1	Carpet	Luke Milligan	6–7(5), 7–6(6), 6–4
12 July 2004	Manchester , Great Britain	Grass	Michael Mertinak	6–1, 6–3
4 July 2005	Nottingham , Great Britain	Grass	Mark Hilton	6–3, 7–5
21 November 2005	Sunderland , Great Britain	Hard	Danai Udomchoke	7–6(4), 7–5
23 January 2006	Wrexham , Great Britain	Hard	Stéphane Robert	6–3, 6–2
6 February 2006	Bergamo , Italy	Carpet	Simone Bolelli	6–1, 3–0 Ret.
20 November 2006	Shrewsbury , Great Britain	Hard	Mischa Zverev	4–6, 6–4, 6–4
9 April 2007	Valencia, CA , USA	Hard	Zack Fleishman	6–4, 6–7(4), 6–3
7 July 2008	Granby , Canada	Hard	Danai Udomchoke	7–6(14), 3–6, 7–6(6)
18 October 2009	Kolding , Denmark	Hard	Ivan Dodig	3–6, 7–6(7), Def.
23 January 2011	Tamarac, FL , USA F2	Clay	Daniel Smethurst	6–4, 0–6, 6–2
8 July 2012	Pittsburgh, PA , USA F18	Clay	Matheson Klein	6–2, 6–4
15 July 2012	Rochester, NY , USA F19	Clay	Chase Buchanan	6–3, 6–4
