District	Incumbent	Party	First elected	Results
Massachusetts 1	John Olver	Democratic	1991	Re-elected
Massachusetts 2	Richard Neal	Democratic	1988	Re-elected
Massachusetts 3	Jim McGovern	Democratic	1996	Re-elected
Massachusetts 4	Barney Frank	Democratic	1980	Re-elected
Massachusetts 5	Marty Meehan	Democratic	1992	Re-elected
Massachusetts 6	John Tierney	Democratic	1996	Re-elected
Massachusetts 7	Ed Markey	Democratic	1976	Re-elected
Massachusetts 8	Mike Capuano	Democratic	1998	Re-elected
Massachusetts 9	Stephen Lynch	Democratic	2001	Re-elected
Massachusetts 10	Bill Delahunt	Democratic	1996	Re-elected
