Place	Player	Country	Score	To par
T1	Chris DiMarco	United States	69-73-68=210	–6
T1	Phil Mickelson	United States	72-69-69=210	–6
3	Paul Casey	England	75-69-68=212	–4
T4	K.J. Choi	South Korea	71-70-72=213	–3
T4	Ernie Els	South Africa	70-72-71=213	–3
T4	Bernhard Langer	Germany	71-73-69=213	–3
7	Kirk Triplett	United States	71-74-69=214	–2
8	Fredrik Jacobson	Sweden	74-74-67=215	–1
T9	Stewart Cink	United States	74-73-69=216	E
T9	Fred Couples	United States	73-69-74=216	E
T9	Jay Haas	United States	69-75-72=216	E
T9	Pádraig Harrington	Ireland	74-74-68=216	E
T9	Davis Love III	United States	75-67-74=216	E
T9	Nick Price	Zimbabwe	72-73-71=216	E
