Player	Matches	Innings	Runs	Average	Highest Score	100s	50s
Lionel Palairet Category:Articles with hCards	10	19	560	31.11	100	1	5
John Challen Category:Articles with hCards	9	16	354	25.28	89	0	2
Richard Palairet Category:Articles with hCards	10	17	266	19.00	74	0	1
Herbie Hewett Category:Articles with hCards	12	22	388	18.47	65	0	2
Sammy Woods Category:Articles with hCards	11	19	330	18.33	50	0	1
Bill Roe Category:Articles with hCards	7	12	168	15.27	36	0	0
Crescens Robinson Category:Articles with hCards	11	17	196	14.00	55	0	1
Vernon Hill Category:Articles with hCards	9	15	184	12.26	31	0	0
George Nichols Category:Articles with hCards	12	21	216	10.28	37	0	0
Ted Tyler Category:Articles with hCards	12	20	168	9.88	62	0	1
