Date	Result	Score	Venue	Competition
02-Feb-90	L	0–2	Tehran , Iran	Friendly
04-Feb-90	L	0–1	Tehran , Iran	Friendly
18-Feb-90	L	0–1	Tehran , Iran	Friendly
20-Feb-90	L	0–1	Tehran , Iran	Friendly
24-Sep-90	W	3–0	Beijing , China	1990 Asian Games
28-Sep-90	W	2–1	Beijing , China	1990 Asian Games
01-Oct-90	W	1–0	Beijing , China	1990 Asian Games
03-Oct-90	W	1–0	Beijing , China	1990 Asian Games
06-Oct-90	D	0–0	Beijing , China	1990 Asian Games
27-Sep-91	W	2–1	Tehran , Iran	1991 Afro-Asian Cup
13-Oct-91	L	0–1	Algiers , Algeria	1991 Afro-Asian Cup
11-May-92	W	7–0	Kolkata , India	1992 Asian Cup Qualifier
13-May-92	W	3–0	Kolkata , India	1992 Asian Cup Qualifier
02-Oct-92	D	1–1	Tehran , Iran	Friendly
04-Oct-92	D	0–0	Tehran , Iran	Friendly
18-Oct-92	D	1–1	Kuwait City , Kuwait	Friendly
30-Oct-92	W	2–0	Onomichi , Japan	1992 Asian Cup
01-Nov-92	D	0–0	Hiroshima , Japan	1992 Asian Cup
03-Nov-92	L	0–1	Hiroshima , Japan	1992 Asian Cup
06-Jun-93	W	5–0	Tehran , Iran	1993 ECO Cup
06-Jun-93	L	1–3	Tehran , Iran	Friendly
08-Jun-93	W	2–1	Tehran , Iran	1993 ECO Cup
13-Jun-93	W	1–0	Tehran , Iran	1993 ECO Cup
14-Jun-93	W	2–1	Tehran , Iran	1993 ECO Cup
23-Jun-93	D	0–0	Tehran , Iran	1994 World Cup Qualifier
25-Jun-93	W	6–0	Tehran , Iran	1994 World Cup Qualifier
27-Jun-93	D	1–1	Tehran , Iran	1994 World Cup Qualifier
02-Jul-93	W	1–0	Damascus , Syria	1994 World Cup Qualifier
04-Jul-93	W	6–0	Damascus , Syria	1994 World Cup Qualifier
06-Jul-93	D	1–1	Damascus , Syria	1994 World Cup Qualifier
16-Oct-93	L	0–3	Doha , Qatar	1994 World Cup Qualifier
18-Oct-93	W	2–1	Doha , Qatar	1994 World Cup Qualifier
22-Oct-93	L	1–2	Doha , Qatar	1994 World Cup Qualifier
25-Oct-93	W	2–1	Doha , Qatar	1994 World Cup Qualifier
28-Oct-93	L	3–4	Doha , Qatar	1994 World Cup Qualifier
03-Oct-94	D	0–0	Hiroshima , Japan	1994 Asian Games
05-Oct-94	D	1–1	Onomichi , Japan	1994 Asian Games
07-Oct-94	L	0–1	Hiroshima , Japan	1994 Asian Games
09-Oct-94	W	4–0	Onomichi , Japan	1994 Asian Games
26-Apr-96	D	1–1	Ashgabat , Turkmenistan	Friendly
28-Apr-96	L	0–1	Ashgabat , Turkmenistan	Friendly
17-May-96	W	2–0	Tabriz , Iran	Friendly
27-May-96	D	2–2	Kuwait City , Kuwait	Friendly
30-May-96	W	2–1	Kuwait City , Kuwait	Friendly
01-Jun-96	W	1–0	Doha , Qatar	Friendly
10-Jun-96	W	8–0	Tehran , Iran	1996 Asian Cup Qualifier
12-Jun-96	W	7–0	Tehran , Iran	1996 Asian Cup Qualifier
14-Jun-96	W	2–0	Tehran , Iran	1996 Asian Cup Qualifier
17-Jun-96	W	4–0	Muscat , Oman	1996 Asian Cup Qualifier
19-Jun-96	W	4–0	Muscat , Oman	1996 Asian Cup Qualifier
21-Jun-96	W	2–1	Muscat , Oman	1996 Asian Cup Qualifier
04-Oct-96	W	1–0	Kuwait City , Kuwait	Friendly
13-Nov-96	D	0–0	Beirut , Lebanon	Friendly
25-Nov-96	L	0–1	Tehran , Iran	Friendly
05-Dec-96	L	1–2	Dubai , United Arab Emirates	1996 Asian Cup
08-Dec-96	W	3–1	Dubai , United Arab Emirates	1996 Asian Cup
11-Dec-96	W	3–0	Dubai , United Arab Emirates	1996 Asian Cup
16-Dec-96	W	6–2	Dubai , United Arab Emirates	1996 Asian Cup
18-Dec-96	D	0–0	Dubai , United Arab Emirates	1996 Asian Cup
21-Dec-96	D	1–1	Abu Dhabi , United Arab Emirates	1996 Asian Cup
11-Apr-97	W	2–0	Kuwait City , Kuwait	Friendly
21-Apr-97	W	3–0	Tabriz , Iran	Friendly
27-Apr-97	D	0–0	Beijing , China	Friendly
02-Jun-97	W	17–0	Damascus , Syria	1998 World Cup Qualifier
04-Jun-97	W	7–0	Damascus , Syria	1998 World Cup Qualifier
06-Jun-97	W	1–0	Damascus , Syria	1998 World Cup Qualifier
09-Jun-97	W	3–1	Tehran , Iran	1998 World Cup Qualifier
11-Jun-97	W	9–0	Tehran , Iran	1998 World Cup Qualifier
13-Jun-97	D	2–2	Tehran , Iran	1998 World Cup Qualifier
17-Aug-97	W	1–0	Toronto , Canada	Friendly
02-Sep-97	L	1–3	Abu Dhabi , United Arab Emirates	Friendly
13-Sep-97	W	4–2	Dalian , China	1998 World Cup Qualifier
19-Sep-97	D	1–1	Tehran , Iran	1998 World Cup Qualifier
26-Sep-97	D	1–1	Kuwait City , Kuwait	1998 World Cup Qualifier
03-Oct-97	W	3–0	Tehran , Iran	1998 World Cup Qualifier
17-Oct-97	W	4–1	Tehran , Iran	1998 World Cup Qualifier
24-Oct-97	L	0–1	Riyadh , Saudi Arabia	1998 World Cup Qualifier
31-Oct-97	D	0–0	Tehran , Iran	1998 World Cup Qualifier
07-Nov-97	L	0–2	Doha , Qatar	1998 World Cup Qualifier
16-Nov-97	L	2–3	Johor Bahru , Malaysia	1998 World Cup Qualifier
22-Nov-97	D	1–1	Tehran , Iran	1998 World Cup Qualifier
29-Nov-97	D	2–2	Melbourne , Australia	1998 World Cup Qualifier
28-Jan-98	L	0–1	Hong Kong	1998 Carlsberg Cup
31-Jan-98	D	1–1	Hong Kong	1998 Carlsberg Cup
14-Apr-98	D	1–1	Tabriz , Iran	Friendly
20-Apr-98	L	0–2	Tehran , Iran	1998 LG Cup
22-Apr-98	W	1–0	Tehran , Iran	1998 LG Cup
03-Jun-98	L	0–2	Rijeka , Croatia	Friendly
14-Jun-98	L	0–1	Saint-Étienne , France	1998 World Cup
21-Jun-98	W	2–1	Lyon , France	1998 World Cup
25-Jun-98	L	0–2	Montpellier , France	1998 World Cup
13-Oct-98	L	0–3	Kuwait City , Kuwait	Friendly
01-Dec-98	W	2–0	Sisaket , Thailand	1998 Asian Games
