Position	Nationality	Name	League apps	League goals	FA Cup apps	FA Cup goals	Total apps	Total goals
FW	Scotland	Jack Angus Category:Articles with hCards	3	1	1	0	4	1
FB	England	Charles Baker Category:Articles with hCards	18	5	5	0	23	12
GK	England	Jack Barrett Category:Articles with hCards	3	0	0	0	3	0
GK	England	Tom Cain Category:Articles with hCards	10	0	0	0	10	0
GK	England	Walter Cox Category:Articles with hCards	3	0	5	0	8	0
HB	Scotland	Jimmy Dale Category:Articles with hCards	3	0	2	0	5	0
FW	England	Jack Farrell Category:Articles with hCards	17	10	5	4	22	14
FB	Wales	David Hamer Category:Articles with hCards	4	0	1	0	5	0
HB	England	John Hodgkinson Category:Articles with hCards	7	2	1	0	8	2
HB	Scotland	Sergt. Inglis Category:Articles with hCards	1	0	0	0	1	0
FW	Scotland	Watty Keay Category:Articles with hCards	15	6	5	3	20	9
FW	England	Bob Kiddle Category:Articles with hCards	1	0	0	0	1	0
HB	England	Alf Littlehales Category:Articles with hCards	17	4	5	1	22	5
HB	Scotland	John McMillan Category:Articles with hCards	4	0	0	0	4	0
FB	England	George Marshall Category:Articles with hCards	8	0	3	0	11	0
FB	Scotland	Samuel Meston Category:Articles with hCards	18	0	5	1	23	1
FW	Scotland	Willie Naughton Category:Articles with hCards	17	8	4	3	21	11
FB	England	Gunner Phillips Category:Articles with hCards	1	0	0	0	1	0
GK	Ireland	Matt Reilly Category:Articles with hCards	2	0	0	0	2	0
FB	England	Joe Rogers Category:Articles with hCards	8	1	1	0	9	1
HB	England	Victor Smith Category:Articles with hCards	1	0	0	0	1	0
HB	England	Ernie Taylor Category:Articles with hCards	8	1	2	1	10	2
HB	England	Lachie Thomson Category:Articles with hCards	12	0	5	0	17	0
