Episode	Broadcast date	Run time	Viewers (in millions)	Archive
" The Nightmare Begins "	13November1965	22:55	9.1	Only stills and/or fragments exist
" Day of Armageddon "	20November1965	24:25	9.8	16mm t/r
" Devil's Planet "	27November1965	24:30	10.3	Only stills and/or fragments exist
" The Traitors "	4December1965	24:42	9.5	Only stills and/or fragments exist
" Counter Plot "	11December1965	24:03	9.9	16mm t/r
" Coronas of the Sun "	18December1965	24:45	9.1	Only stills and/or fragments exist
" The Feast of Steven "	25December1965	24:36	7.9	Only stills and/or fragments exist
" Volcano "	1January1966	24:42	9.6	Only stills and/or fragments exist
" Golden Death "	8January1966	24:38	9.2	Only stills and/or fragments exist
" Escape Switch "	15January1966	23:37	9.5	16mm t/r
" The Abandoned Planet "	22January1966	24:34	9.8	Only stills and/or fragments exist
" The Destruction of Time "	29January1966	23:31	8.6	Only stills and/or fragments exist
