Year	Champion	Country	Score	Tournament location	Purse ($)	Winners share ($)
2011	Brittany Johnston	United States	199 (−11)	Wintonbury Hills Golf Course	100000	14000
2010	Tiffany Joh	United States	200 (−10)	Wintonbury Hills Golf Course	100000	14000
2009	Dewi Claire Schreefel	Netherlands	202 (−8)	Wintonbury Hills Golf Course	100000	14000
2008	Vicky Hurst	United States	209 (−7)	Gillette Ridge Golf Club	80000	11200
2007 *	Taylor Leon	United States	215 (−1)	Gillette Ridge Golf Club	80000	11200
2006	Song-Hee Kim	South Korea	216 (E)	Gillette Ridge Golf Club	70000	9800
2005^	Virada Nirapathpongporn	Thailand	142 (−2)	Gillette Ridge Golf Club	70000	9800
2004	Nicole Perrot	Chile	209 (−4)	Blue Fox Run Golf Course	70000	9800
2003	Stacy Prammanasudh	United States	203 (−10)	Blue Fox Run Golf Course	60000	8400
2002	Linda Ishii	Japan	208 (−5)	Blue Fox Run Golf Course	60000	8400
2001*	Kathryn Cusick	United States	212 (−1)	Blue Fox Run Golf Course	60000	8400
2000^*	Christel Tomori	United States	140 (−2)	Blue Fox Run Golf Course	50000	7000
